OrganizationName,Spend,Impressions,Currency Codes,CandidateBallotInformation,PayingAdvertiserNames,Genders,AgeBrackets,CountryCodes,BillingAddresses,CreativeUrls,Interests,Regions (Included),Regions (Excluded)
Chong and Koster,552638,108761626,USD,,PPFA,FEMALE,18-35,united states,"1640 Rhode Island Ave. NW, Suite 600,Washington,20036,US",https://www.snap.com/political-ads/asset/069af301262ef461de1a8d9df674d4c2ba8b0d306436c838466fd03385ffd1d3?mediaType=mp4,,Georgia,
Essence Global Canada Inc.,1266085,98480618,CAD,Bill C 11,Google Canada,,18-34,canada,"155 Queens Quay East,Toronto,M5A 0W4,CA",https://www.snap.com/political-ads/asset/8d93eaaacfeb4d27a65ec1a693a3cb259df9eee2fb3f54434c94dec783478bd5?mediaType=mp4,,,Quebec
Australian Government Department of Finance,364995,90519033,AUD,,Department of Social Services,,18-24,australia,"C/- 100 Chalmers Street,Surry Hills,2010,AU",https://www.snap.com/political-ads/asset/01a5b9589fdae5951e6dc7d61827b02012376febbe4691e01df010a4385fdbee?mediaType=jpg,,,
AL Media,454261,85246384,USD,Warnock For Georgia,Warnock for Georgia,,18+,united states,"222 W Ontario, Suite 600,,Chicago,60654,US",https://www.snap.com/political-ads/asset/baab337838831525c192f53d53be9b344e35e77844d0781bf88c8df026d25106?mediaType=mp4,"targetsmart_23,targetsmart_18",Georgia,
Australian Government Department of Finance,386997,76155777,AUD,,Australian Electoral Commission,,18-24,australia,"C/- 100 Chalmers Street,Surry Hills,2010,AU",https://www.snap.com/political-ads/asset/e18cb91f85ba9e8439a81c7f34454949d8342a4b70535b7e83335e8f745e2dd9?mediaType=MP4,,,
Dentsu France,88703,41202300,EUR,,Gouvernement,,18+,france,"67 Av. de Wagram,Paris,75017,FR",https://www.snap.com/political-ads/asset/91374e28e144114f089371dc0793245e957d15645b910d9b5836c70fc3b16a30?mediaType=mp4,,,
Wavelength Strategy,258466,40959794,USD,Kathy Hochul,Kathy Hochul for NY,,18+,united states,US,https://www.snap.com/political-ads/asset/15a0e18d7cb3decc815a34bde4a7607040a7eb2b5e6e259f71e78e67a1d20338?mediaType=mp4,"Arts & Culture Mavens,Hip-Hop Music Fans,Sneakerheads,Basketball Fans,College Basketball Fans",New York,
Thorn,64498,33099881,USD,,Thorn,,17-,united states,"222 N. Pacific Coast Highway, 10th Floor,El Segundo,90245,US",https://www.snap.com/political-ads/asset/b2b9a74b9bdb9c1100526868d17345c9b14bf6f2ee44a52bce0fa2385194b188?mediaType=mp4,,,
Bully Pulpit Interactive,154381,31794708,USD,,Patagonia,,18+,united states,"1445 New York Ave NW,Washington,20005,US",https://www.snap.com/political-ads/asset/023038af15e29568f6d81bf6db154575b2b963469a45d5f889148a6c4cbbb742?mediaType=mp4,,,
Planned Parenthood Advocates of Wisconsin,104047,29352879,USD,,Planned Parenthood Advocates WI,,18+,united states,"302 N Jackson St,Milwaukee,53211,US",https://www.snap.com/political-ads/asset/db2134c6bd66e5215eaf0dc6b20c9efbcd8890f2374a6e5725a4edfd41237a65?mediaType=png,,Wisconsin,
Unilever US - 360i,322261,27792536,USD,,Ben & Jerry's,,18-34,united states,"32 Avenue of the Americas,New York,10013,US",https://www.snap.com/political-ads/asset/b7edc22ce9071dd56c5c8798303df0e858a0b181c902005bfbe31d902dd2b713?mediaType=mp4,,"Arizona,Georgia,Florida,Nevada,Pennsylvania,Wisconsin,North Carolina,Ohio,Texas,Michigan",
M&R Strategic Services  Inc.,137038,27276345,USD,,Fight for $15,,16+,united states,"1901 L St NW,Washington,20036,US",https://www.snap.com/political-ads/asset/22e599930cdee9bc48f807975debaf5f293bdcf81a1079a45fc6994abf0f13d4?mediaType=mp4,,,
Precision [TEST],147474,26855361,USD,SEIU,SEIU,,18+,united states,"1121 14th Street NW Suite 700,Washington,20005,US",https://www.snap.com/political-ads/asset/4e3dd579f1259fe5c2a7705de93ca70c3e856038b51c5b40738e8c74bd943f92?mediaType=mp4,,Nevada,
MVAR Media,106749,26483037,USD,Majority Forward,MAJORITY FORWARD FUND,,18-45,united states,"1421 Prince St Suite 320,Alexandria,22314,US",https://www.snap.com/political-ads/asset/7c08152aa50e86703c03ff11f8b6257d7bdf931be65614ae71d55b757607a873?mediaType=mp4,,,"Alabama,North Carolina"
SBDigital,108911,24372577,USD,,Courier Newsroom,,17+,united states,US,https://www.snap.com/political-ads/asset/56cc20a120df2d38f35a6a1119fa67c9ce85476024a85246b0f040bd51ecba8d?mediaType=mp4,,North Carolina,
Wavelength Strategy,238541,23132759,USD,Mark Kelly,Mark Kelly for Senate,,18+,united states,US,https://www.snap.com/political-ads/asset/62278efbdd9df684ad84ad099fdca0d8c0fe3e53f638d5f63efc1fac19de3551?mediaType=jpg,"Investors & Entrepreneurs,Business News Watchers,Advocates & Activists,Collegiates,Green Living Enthusiasts,Political News Watchers,Philanthropists",Arizona,
Walk In Media,68413,23034631,GBP,,Electoral Commission,,18-34,united kingdom,"34 Bow Street,London,WC2E 7AU,GB",https://www.snap.com/political-ads/asset/2dd0185cf15b363466663ad97bfe0b06e35177f62d6576fe947a27269647d8d3?mediaType=mp4,,,
Gambit Strategies,281931,20394766,USD,,Priorities USA,,18-34,united states,"2939 Van Ness St NW #1006,Washington,20008,US",https://www.snap.com/political-ads/asset/f99de3f2c59febe43c51dfc4d7aa87be367d10960491636eeb874b620b1fa891?mediaType=png,,,
Bully Pulpit Interactive,32988,17562859,USD,,Campaign for Tobacco-Free Kids,,18-22,united states,"1445 New York Ave NW,Washington,20005,US",https://www.snap.com/political-ads/asset/c0bb05afa669c17ced5a1d164c5b03f62753aa54a2da71239a9e5314708acf4e?mediaType=mp4,Advocates & Activists,,
Dentsu France,41851,17136457,EUR,,Min. Solidarités et Santé,FEMALE,18-34,france,"67 Av. de Wagram,Paris,75017,FR",https://www.snap.com/political-ads/asset/17c06ad01f3cfcac057d1cd9feabcdd2f5bea3755c9b60a083a9f7079359ac8f?mediaType=mp4,,,
Manning Gottlieb OMD - OmniGOV,16963,16885181,GBP,,UK Government,,18-34,united kingdom,"10 Regents Wharf, All Saints Stree,London,N1 9RL,GB",https://www.snap.com/political-ads/asset/b84b390cc37acfd3a5112d249451cf91c571115655b12b3359e99eb38a327896?mediaType=mp4,,,
AL Media,235469,16874558,USD,One Georgia,"One Georgia, Inc.",,18+,united states,"222 W Ontario, Suite 600,,Chicago,60654,US",https://www.snap.com/political-ads/asset/ed82182c27fa26bfdd49f92aedd949243952c112ba6018b007d4ccb414d2fd73?mediaType=mp4,"targetsmart_23,targetsmart_22,targetsmart_15,targetsmart_18",Georgia,
Wavemaker UK,37600,16713505,GBP,,Metropolitan Police Service,,17-,united kingdom,"Sea Containers, 18 Upper Ground,London,SE1 9ET,GB",https://www.snap.com/political-ads/asset/e6b4b319eb55108a7961c31c3b1058aa5a43b7a7371960693c97e869c0b562c6?mediaType=mp4,,,
Wavelength Strategy,114915,16552540,USD,,Arizona Democratic Party,,18+,united states,US,https://www.snap.com/political-ads/asset/f8a7fbc91f3f506242e6b96ea4a67f81371d5a96f8308c5ffa2d67239791cb44?mediaType=jpg,"targetsmart_20,targetsmart_19,targetsmart_17,targetsmart_14",Arizona,
Centro LLC,44441,15529121,USD,,University of Pittsburgh,,18-34,united states,"11 E. Madison Ave. 6th Floor,,,Chicago,60602,US",https://www.snap.com/political-ads/asset/33d38ff2c63c82a91080cb0ad326468f90017f7c00b9b6b32ec5e02eac6441e3?mediaType=jpg,"Collegiates,Advocates & Activists",Pennsylvania,
Wavelength Strategy,134918,15150166,USD,,DSCC,,18+,united states,US,https://www.snap.com/political-ads/asset/5674b7245cb40eea1e456592b299311a37560802de86abcf3735d9b6bed27746?mediaType=jpg,"targetsmart_21,targetsmart_16",,"Minnesota,Michigan,Illinois"
Wavelength Strategy,61555,14794822,USD,Michael Bennet,Bennet For Colorado,,18+,united states,US,https://www.snap.com/political-ads/asset/03f655b80c1f6632a6e25176a6c08a9e4b28ad0b659e624ced5d8bbe5ef4f8b0?mediaType=mp4,,Colorado,
Reproductive Freedom for All,79478,14636518,USD,,Reproductive Freedom for All,,18+,united states,US,https://www.snap.com/political-ads/asset/09b7bf4105f3bcd2028c7dbe3bd026858f378f8c03d4b930e5fa168ff826a7a3?mediaType=mp4,,Michigan,
