OrganizationName,Spend,Impressions,Currency Codes,CandidateBallotInformation,PayingAdvertiserNames,Genders,AgeBrackets,CountryCodes,BillingAddresses,CreativeUrls,Interests,Regions (Included),Regions (Excluded)
Unilever US - Mindshare,719534,97399732,USD,,Unilever,FEMALE,35+,united states,"PO Box 4614 GCS,New York,10163,US",https://www.snap.com/political-ads/asset/99960c05e4f82858a55b4bdb5a26683858fad4ef6c9c165624957391d779db82?mediaType=mp4;https://www.snap.com/political-ads/asset/b762dc642725acafa48606d3a5fefd11f0ec0d7650b7a35d9c916f94f6c1e19e?mediaType=mp4,,,
Australian Government Department of Finance,458939,74155620,AUD,,Australian Electoral Commission,,16-24,australia,"100 Chalmers Street,Surry Hills,2010,AU",https://www.snap.com/political-ads/asset/0bb578a87367f33477008850995ad161e3f6a010c51f2ccf49e596af48de7569?mediaType=mp4,,,
Patagonia Europe,259424,55747181,EUR,,Patagonia,,18+,united kingdom,"Jollemanhof 11,Amsterdam,1061TJ,NL",https://www.snap.com/political-ads/asset/240a84626e419c8fb444987ab3e15d48c179a29a65adb96e1cf1e6adc3878e6c?mediaType=mp4,Green Living Enthusiasts,,
ZAMBEZI,196320,44842023,USD,,Planned Parenthood,FEMALE,18-29,united states,US,https://www.snap.com/political-ads/asset/604c88d7e6a50049e265c1684fd60f3355de12c337bb58828a6522fdcd66e74f?mediaType=mp4,,,
OpAD Media,82072,36965598,USD,,NYC Health Department,FEMALE,30-,united states,"275 Madison Avenue, Suite 2200,New York ,10016,US",https://www.snap.com/political-ads/asset/117b177ca91f8408669ddeb9d63e47aa9a5c614b61fd87f60115248fa3a4a65d?mediaType=jpg,,"Florida,Georgia,Texas","South Carolina,Tennessee,Alabama,Louisiana,Arkansas,Oklahoma,New Mexico"
Wavelength Strategy,254437,33336048,USD,OURR,OURR,,25+,united states,US,https://www.snap.com/political-ads/asset/dea8ca758dbe037eb6881b53291774f3ce2e8705e2cdea7af4c3ab22771fd792?mediaType=mp4,"Talk Show Fans,vac_264,Yoga Enthusiasts,News Watchers,Parents & Family-Focused,Wellness & Healthy Lifestyle,Golfers,Cincinnati Bengals Fans,Cleveland Browns Fans",Ohio,
Dentsu Aegis Network France,23375,25279314,EUR,,MESRI,,20-30,france,"67 Av. de Wagram,Paris,75017,FR",https://www.snap.com/political-ads/asset/00783a89275b46cbb02a33d224a4aec27a5596a8b948d42f0c3530421ec8b228?mediaType=mp4,Collegiates,,
Dentsu Norge AS – RED dentsu X,47500,21605615,EUR,,Valg Norge,,18+,norway,"Kristian Augusts gate 23, OSLO,0164 ,NO",https://www.snap.com/political-ads/asset/b9e641dc5fccb89cc548245e89a22207110976f01028bfdfa473e46165d42810?mediaType=mp4,,,
Arbeiderpartiet,527188,19930616,NOK,,Arbeiderpartiet,,18+,,"Youngstorget 2A,OSLO,0028,NO",https://www.snap.com/political-ads/asset/e7ab652fe703f97ffd3d27e704e074c7adeb9a9513d6e1ae214ca835f9fb8b42?mediaType=mp4,,,
Amidays,1437774,19655696,NOK,,Høyre,,18+,norway,"Bygdøy Alle 1,OSLO,0257,NO",https://www.snap.com/political-ads/asset/d057f6e2f38838eb81c4ef450cea31bb51a671a21ec86c377c9e7aa7b85d9823?mediaType=mp4,,,
M&R Strategic Services  Inc.,92900,16532955,USD,,Fight for $15,,16+,united states,"1901 L St NW,Washington,20036,US",https://www.snap.com/political-ads/asset/66b8d3ac91c364a25b9b419e40a857c93fea44ed183c9be99738e7a24d269d8d?mediaType=mp4,,,
Chong and Koster,137292,16482492,USD,,PPFA,FEMALE,18-35,united states,"1640 Rhode Island Ave. NW, Suite 600,Washington,20036,US",https://www.snap.com/political-ads/asset/ce5740a84c01c04ea793ca7cf58de9d0bd52377ad308d303ce22c09ba6249d9e?mediaType=png,"Hip-Hop Music Fans,Soul & R&B Fans",Wisconsin,
The Body Shop Intl Plc,9611,13174259,GBP,,The Body Shop UK,,15-17,united kingdom,"Watersmead Business Park,Littlehampton,BN17 6LS,GB",https://www.snap.com/political-ads/asset/bcfb5ca93b8b3f8cf5f82f3c6acb2094fa90f0a6e9114691a8eec8efa00e506b?mediaType=mp4,,,
Cossette Media Inc,72481,12832224,CAD,,GC/ESDC-EDSC,,34-,canada,"P.O. Box. 11613, Succ. Centre-ville,Montreal,H3C5V9,CA",https://www.snap.com/political-ads/asset/d3082db02aa4224dce935c5a3e854e7cf5514e9e9494d409d360fcc39d8957f4?mediaType=jpg,,,
Turnout Activism Inc.,52393,12341747,USD,TurnUp Activism,Turnout Activism Inc.,FEMALE,18-29,united states,"35 Walden St #3g,Cambridge,02140,US",https://www.snap.com/political-ads/asset/53e08beba8dbe2761ee9fe400d741166b5effa8331748f13dbad3e9ef35e6db9?mediaType=mp4,,Ohio,
DSPolitical,67251,12270827,USD,Local New York City Primary Election awareness,New York City Campaign Finance B,,18-35,united states,US,https://www.snap.com/political-ads/asset/3cfee938e8d852d098e2a82b631aab688a75786029022563546744705298efdd?mediaType=png,,,
Facts for Peace LLC,192177,11426050,USD,Facts For Peace,Facts for Peace LLC,MALE,18-29,united states,US,https://www.snap.com/political-ads/asset/e57abcf66a2939c6869c51e401e638ec8267d5a3221186f1663ebb8210f20bf9?mediaType=mp4,Collegiates,,
Miljøpartiet De Grønne,30057,11027722,USD,Miljopartiet De Gronne,Miljøpartiet De Grønne,,17-30,norway,"Hausmanns gate 19,Oslo,0188,NO",https://www.snap.com/political-ads/asset/09785a6b81ea5570ac6f104886b5accc541d594560ec45e7aa985c90791985e2?mediaType=mp4,,Oslo,
Try Schjærven Media,113156,10735085,NOK,,AUF,,15-25,norway,"Øvre Slottsgate 8,Oslo,0157,NO",https://www.snap.com/political-ads/asset/f0643581c0009ad9b627c62ca16a76b07eaacbaaf4eaecf17af084e4d5d424ff?mediaType=mp4,,,
MediaCom AS,196097,10087183,NOK,Den norske kirke,Den norske kirke,,16-39,norway,"Postboks 8824 Youngstorget,Oslo,0028,NO",https://www.snap.com/political-ads/asset/5254f55836cdea331f31f84530b6e71d0df061e182f1783711eaa4c88be36eec?mediaType=mp4,,,
Omnicom Media Group (Australia) Pty Ltd,49369,9956696,AUD,,NSW Electoral Commission,,18-34,australia,"32 Pyrmont Bridge Road Pyrmont NSW 2009 PO Box 66, Pyrmont NSW 2009,,,Sydney,2009,AU",https://www.snap.com/political-ads/asset/801d56d9fd823dc953632668edd439c19ca5989d345959865f829f271f63a065?mediaType=mp4,,,
It Gets Better Project,20405,9361381,USD,na,It Gets Better Project,,30-,united states,US,https://www.snap.com/political-ads/asset/a9614e5d2ee5f280c5680a3912c3a8b29fce228530a89913d3034d327729c68c?mediaType=mp4,"Advocates & Activists,Arts & Culture Mavens,Clubbers & Party People,Collegiates,Fashion & Style Gurus,Wellness & Healthy Lifestyle,Philanthropists,Music Fans,Home Decoristas,High Schoolers,Foodies,Film & TV Fans,Do-It-Yourselfers,Beauty Mavens,Bookworms & Avid Readers",,
Httpool,9996,9069603,EUR,,JHL,,18+,finland,"Litostrojska cesta 52,Ljubljana,1000,SI",https://www.snap.com/political-ads/asset/2040a8bbc33cb8400c53ae2896cf892f35b107397b3959f72205a18a12a3205e?mediaType=mp4,,,
Oslo Arbeiderparti,321106,8202117,NOK,,Oslo Arbeiderparti,,18-49,norway,"youngstorget 2b,Oslo,0181,NO",https://www.snap.com/political-ads/asset/9f602ac00941907c345ca310953dd8e9673388480005d5e5c6c05e26bd9a31ea?mediaType=mp4,,Oslo,
The New Media Firm,133962,8022092,USD,Galvanize USA,Galvanize Action,,18+,united states,"1730 Rhode Island Ave, NW Ste 213,Washington,20036,US",https://www.snap.com/political-ads/asset/f31fad4923f3db4937f71af5c6a98f271d42ad39e41b319b597184b41875ade6?mediaType=mp4,,Pennsylvania,
M&R Strategic Services  Inc.,39728,7732660,USD,,Project Unloaded,,17-,united states,"1901 L St NW,Washington,20036,US",https://www.snap.com/political-ads/asset/04a34d11ea5bacfc6008c28c2da499d28ea9413e48668b3b47c50c0a30d289f5?mediaType=mp4,,,
Bully Pulpit Interactive,77971,7281558,USD,,Climate Power,FEMALE,18-30,united states,"1445 New York Ave NW,Washington,20005,US",https://www.snap.com/political-ads/asset/44e070848831341305db6196819bf606a67a4b9cdae7d30a3ece4c1eed366636?mediaType=png,"Advocates & Activists,Political News Watchers",Arizona,
American Civil Liberties Union  Inc.,63887,6804065,USD,,American Civil Liberties Union,,18+,united states,"125 Broad St., 18th Floor,New York,10004,US",https://www.snap.com/political-ads/asset/ecdef9f8b9507486a27edc16a3bae51b92111f57f42b82ca89eb6f87d6bed66b?mediaType=jpg,Political News Watchers,,
