OrganizationName,Spend,Impressions,Currency Codes,CandidateBallotInformation,PayingAdvertiserNames,Genders,AgeBrackets,CountryCodes,BillingAddresses,CreativeUrls,Interests,Regions (Included),Regions (Excluded)
Cossette Media Inc,496359,181467072,CAD,,ElectionsCanada/ÉlectionsCanada,,18-24,canada,"P.O. Box. 11613, Succ. Centre-ville,Montreal,H3C5V9,CA",https://www.snap.com/political-ads/asset/1405963d73d36770c50b2f1400c79e538465a2575feb26bca1783eae120b9525?mediaType=mp4,,,
ORIXA MEDIA,378272,151245022,EUR,,Human Appeal France,,18+,france,"72 rue d'hauteville,PARIS,75010,FR",https://www.snap.com/political-ads/asset/d85a5cd90c5e585f04605ea64cec9014b5249277cd387825cfd2b468877e11d5?mediaType=mp4,,,
standup2jewhate,649983,117469815,USD,,FDTN to Combat Antisemitism,,18-34,united states,"1 Patriot Pl,Foxborough,02035,US",https://www.snap.com/political-ads/asset/ca3a51919a65209411cd00633bc7ddf4cb23c7aa4dca6324e87bceb557ec78a3?mediaType=mp4,"Advocates & Activists,Arts & Culture Mavens,Cooking Enthusiasts,Political News Watchers,Philanthropists,Travel Enthusiasts,shp_32,shp_125",,
Los & Co,178944,104700513,EUR,,Fremskrittspartiet,,18-30,norway,"Kongens gate 2,Oslo,0153,NO",https://www.snap.com/political-ads/asset/3e5ea02375765d0e1cd0de7dadd7640fc382592692c3686683a3d36976f31044?mediaType=mp4,,,
Agenda Media,179892,91876511,GBP,,Electoral Commission,,25+,united kingdom,"37 Turner Street,Manchester,M4 1DW,GB",https://www.snap.com/political-ads/asset/cac8411fd84585d93c4d2ed31be478dcd7ffc7ed0286828593a4393784dd4ce2?mediaType=mp4,,,"London,East Sussex,West Sussex,Essex,Thurrock,Hampshire,Isle of Wight,Norfolk,Suffolk,Surrey"
2XL Online,874827,73984551,NOK,,SOS-barnebyer,,18+,norway,"Johanna Wolls Väg 18, 2XL Online,Kävlinge,24436,SE",https://www.snap.com/political-ads/asset/5156d3b1dd3e7c94817b1dcbd556535e2f2d2ea1173ddd1946469905bec03400?mediaType=jpeg,,,
Human Appeal,341431,68815648,GBP,,Human Appeal,,18+,united kingdom,"Pennine House Carrs Road,Cheadle,SK8 2BL,GB",https://www.snap.com/political-ads/asset/fdd12c64e770d3a139efe58aae99ad68742be3b4fa568bbffde9937110d588d5?mediaType=mp4,,,
Amidays,2439061,67916331,NOK,,Høyre,,18+,norway,"Bygdøy Alle 1,OSLO,0257,NO",https://www.snap.com/political-ads/asset/acb733c4e4e306d3482aba1a6dbbfebe604051e8c34fecdfb80d1beb727ef265?mediaType=mp4,,Rogaland,
Trumpet of Patriots,902385,48670348,AUD,Trumpet of Patriots,Trumpet of Patriots,,18+,australia,"153 Gooding Drive,Gold Coast,4226,AU",https://www.snap.com/political-ads/asset/16c7245dfa4e5c7cb74c0e3f5f74c0a95fea1226b022e95e0ed59187c8ed02db?mediaType=mp4,,,
Unified,528671,47976631,USD,,California Secretary of State,,18+,united states,"180 Madison Ave New York,New York,10016,US",https://www.snap.com/political-ads/asset/b557cc4bb712443312860516d0cfe3bc8086677cfc1040e91a6814f9feec074a?mediaType=png,,California,
