OrganizationName,Spend,Impressions,Currency Codes,CandidateBallotInformation,PayingAdvertiserNames,Genders,AgeBrackets,CountryCodes,BillingAddresses,CreativeUrls,Interests,Regions (Included),Regions (Excluded)
General Mills,1683056,512909841,USD,,general mills,,18-,united states,"P.O. Box 4614 Grand Central Station,New York,10163,US",https://www.snap.com/political-ads/asset/041eeb7dde00f8d7aae790e930e1e35d2ac327747bc30ff0787e58bfec0d273c?mediaType=mp4,,,
Assembly,803390,268204613,USD,,truth,,15-17,united states,"711 3rd Ave, New York, NY 10017,new york city,10017,US",https://www.snap.com/political-ads/asset/4e8c873cf036b5b3ca403a9a6e27d3b137b3de04a42c652622a0ef4f0e44d696?mediaType=mp4,,,
Mediavest Spark,323790,157811807,USD,,"Recreational Equipment, Inc.",,18+,united states,"375 Hudson Street     Attn: Mailroom,New York,10014,US",https://www.snap.com/political-ads/asset/2e0efbc1776e1b18b58b3232e6cbc9ed7b4d612671e9d6756a0c85abfca8d8f8?mediaType=mp4;https://www.snap.com/political-ads/asset/1668ef2285b0a3741eaa39f10cb5e857c2db93d7217f47bac4ebc23f4d94def3?mediaType=mp4;https://www.snap.com/political-ads/asset/4bff42e0e82151d24a319ecc29048af03afdc4a6f4c031051418a1b68f31fd96?mediaType=mp4;https://www.snap.com/political-ads/asset/7155e2fcc2d5eec48c5a579cf9e495d73b6a528def7057bc073382f134a5b14f?mediaType=mp4;https://www.snap.com/political-ads/asset/2a24a691520d9417770afc5ef1b086cc205de13df4f506fc13f8b83ad1bf9c8f?mediaType=mp4;https://www.snap.com/political-ads/asset/306a88a4aaaa7f6eddedef2c183f2ae1e18e5377139d94c59ea74b98508db811?mediaType=mp4,"Adventure Seekers,Hipsters & Trendsetters,Concert & Festival Goers,Parents & Family-Focused,Wellness & Healthy Lifestyle,Travelers",,
Cossette Media Inc,286558,133347331,CAD,,Government of Canada,,18-,canada,"P.O. Box. 11613, Succ. Centre-ville,Montreal,H3C5V9,CA",https://www.snap.com/political-ads/asset/f794af695e246b553e135ab98329b1a3649074b3d2b879cdb4168423c36b3182?mediaType=mp4,,,
Dentsu Aegis Network France,99381,123405259,EUR,,SIG,,18+,france,"67 Av. de Wagram,Paris,75017,FR",https://www.snap.com/political-ads/asset/73f8121bcb3faddc0e3f16dbed5d982c7102f2245e0ce5e01d9fb152d3816f4d?mediaType=mp4,,,
Chong and Koster,82347,107250423,USD,,Everytown for Gun Safety AF,,26-,united states,"1640 Rhode Island Ave. NW, Suite 600,Washington,20036,US",https://www.snap.com/political-ads/asset/d95fa0e1de8048ceec3f620022b67d06fe223f2662ddc4fe423746e30d0d31a7?mediaType=mp4,Advocates & Activists,,
Cossette Media Inc,106028,84856471,CAD,,Elections Canada,,18+,canada,"P.O. Box. 11613, Succ. Centre-ville,Montreal,H3C5V9,CA",https://www.snap.com/political-ads/asset/30033e1c020c2196b1cebb1ebf9c028cfdd659d0067027062310d409ec84ad26?mediaType=mp4,,,
Planned Parenthood of Southern New England,180073,75463713,USD,,Planned Parenthood,,,united states,"345 Whitney Ave.,New Haven,06511,US",https://www.snap.com/political-ads/asset/1ddd780385a7f18834e84fdc9b9cde89fb73b366b56146cd908e76e3dfec39f5?mediaType=png,,"Connecticut,Rhode Island",
The Aber Group,127394,73567574,CAD,,Plan International Canada,,20-,canada,"608-120 Eglinton Avenue East,Toronto,M4P1E2,CA",https://www.snap.com/political-ads/asset/102ed332cafdd4526cd7aef4aaa9ada53920cd52e11d9ba3d66fdd1abb01c0c6?mediaType=mp4,,,
Hawkfish LLC,250000,59179478,USD,Mike Bloomberg 2020 Inc,"Mike Bloomberg 2020, Inc.",,18-34,united states,"909 Third Avenue,New York,10022,US",https://www.snap.com/political-ads/asset/eb9af5e90d1ad273b19c76f41142c3d1f8266fe9b85b3ee4bd8864aa13c57f4f?mediaType=mp4,,"Alabama,Arkansas,California,Colorado,Maine,Minnesota,North Carolina,Oklahoma,Tennessee,Texas,Utah,Vermont,Virginia,South Carolina,Nevada,Florida,Michigan,Pennsylvania,Arizona",
The Labour Party,115829,51959434,GBP,,The Labour Party,,18+,united kingdom,"Kings Manor,Newcastle,NE16PA,GB",https://www.snap.com/political-ads/asset/eb2e246532552a65bd36603d2d2fd4bed62fc432e4af9707082c5101f7935c0e?mediaType=mp4,,"Redcar and Cleveland,Trafford,Brighton and Hove,Stoke - on - Trent,Walsall,Calderdale,North Lincolnshire,Cheshire West and Chester,Plymouth,Telford and Wrekin,Kingston Upon Hull,Milton Keynes,Swindon,Dudley,York,Darlington,Hartlepool,Kirklees,Peterborough,Thurrock",
Open Mind Developments Corporation Inc.,45625,49203807,USD,,Pela,,,canada,"604-460 Doyle Ave,Kelowna,V1Y0C2,CA",https://www.snap.com/political-ads/asset/25d43a6bb8d55458c3d92c1f74f2291ab4cf89a5c9cb12cdfe43399584e5eb15?mediaType=mp4,,,
Cossette Media Inc,124115,48643887,CAD,,Gouvernement du Canada,,18-34,canada,"P.O. Box. 11613, Succ. Centre-ville,Montreal,H3C5V9,CA",https://www.snap.com/political-ads/asset/51b20f6f73e2f58b403730b995af0e5b8ac6429da48e8e47e2992eb700d96d46?mediaType=mp4;https://www.snap.com/political-ads/asset/9e40b6ea24766072ee5ce5d4bbeeae818f802fbe863c1fd222821a77f6317ceb?mediaType=mp4;https://www.snap.com/political-ads/asset/055a663054062d92fb1c3d5cb028433bc7ecde14472634d483f0d4bfb33cdd0c?mediaType=mp4,,,
PHD Canada,83797,41885554,CAD,,PHD Canada,,19-34,canada,"96 Spadina Avenue, Suite 700,Toronto,M5V2J6,CA",https://www.snap.com/political-ads/asset/2cc31e987cc2b2bc16231beae843f9b9e864a0bf454a6d45982bbc8ad2c03353?mediaType=mp4,,Ontario,
Blueprint Interactive,111886,40047086,USD,,ACT NOW ON CLIMATE,,18+,united states,"1730 Rhode Island Ave NW Suite 1014,Washington,20036,US",https://www.snap.com/political-ads/asset/d463ae4a3098cd2e82111fe3311376ac6abb99230311d90d28feff6f4f989557?mediaType=mp4,,Iowa,
Australian Government Department of Finance,210000,39616572,AUD,,Australian Electoral Commission,,18+,australia,"100 Chalmers Street,Surry Hills,2010,AU",https://www.snap.com/political-ads/asset/5fe959d8c85f6314151fdd45509f6a9e71cdf40462a57632ced7bd14c497346e?mediaType=mp4,,,
Ciceron Inc,61059,37713479,USD,,Be the Match,,18-39,united states,"126 N. 3rd Street,Minneapolis,55401,US",https://www.snap.com/political-ads/asset/c4a8ad571ad4843c9e1a5e625f4bc24de62d2be45bc1a7b4facee2d5d7c84d62?mediaType=mp4,"Advocates & Activists,Philanthropists",,
Avaaz Campaigns UK,44288,30154798,GBP,,Avaaz Campaigns UK,,18+,united kingdom,GB,https://www.snap.com/political-ads/asset/1ad063a757cd1d393cd83ce24f3aa823d2aff506add6e2593b9c56e573c3414f?mediaType=mov,,,
Vote For Your Future,62874,30031514,GBP,General Election,Vote For Your Future,,18-25,,GB,https://www.snap.com/political-ads/asset/83fd7dee92a8cf6a0b7997ed95b543e2b29010cefe7d19d40d06b7c245b57879?mediaType=mp4,,,
DNB Bank ASA,111957,29844629,EUR,,DNB,,18+,norway,"Dronning Eufemias Gate 30,Oslo,0191,NO",https://www.snap.com/political-ads/asset/4a6f5a64a6517656b19b11bd3dda7840ab6bd77fa1264c34a7b0d78549bfe095?mediaType=jpg,,,
Realtime Media,41450,25901768,USD,,Trump MAGA Committee,,18+,united states,"P.O. Box 13410,Arlington,22219,US",https://www.snap.com/political-ads/asset/a08209c3a29f0ce3e0d6201a6e39a2a9b4313d368820cb0989819b7ae29ff2e5?mediaType=mp4,,,
RIESTER Sonoran LLC,61530,24392924,USD,,Facts Over Flavor,,17-,united states,"3344 E. Camelback Rd.,Phoenix,85018,US",https://www.snap.com/political-ads/asset/c81c061752aec38dc5254b963f0bd1df59d78de1f928c1931d201949b8b668f6?mediaType=mp4,,Arizona,
