OrganizationName,Spend,Impressions,Currency Codes,CandidateBallotInformation,PayingAdvertiserNames,Genders,AgeBrackets,CountryCodes,BillingAddresses,CreativeUrls,Interests,Regions (Included),Regions (Excluded)
MNI Targeted Media,212456,49510297,USD,,By Duty to America,MALE,18-35,united states,"225 High Ridge Road, East Building,Stamford,06905,US",https://www.snap.com/political-ads/asset/f38624fb75a361b96ec41b21ccd2c84d61e435536fd26a4258aeb428125440e4?mediaType=mp4,,North Carolina,
Harris Media LLC,147426,45857979,USD,,Restoration PAC,MALE,18-34,united states,US,https://www.snap.com/political-ads/asset/dd23f8bf4a9e8adb7809560edf558dddb88cfe74126522e5637b3e9fc6dcf7b5?mediaType=mp4,,Wisconsin,
Wavelength Strategy,290867,45011321,USD,,WINSENATE,,18+,united states,US,https://www.snap.com/political-ads/asset/9d70ce95cc2dcb3552af455823f1d3b035e390f42d7d2968262ce89ae37f8aef?mediaType=mp4,,Arizona,
MVAR Media,329127,39628135,USD,Last Best Place PAC,Last Best Place PAC,,18+,united states,"1421 Prince St Suite 320,Alexandria,22314,US",https://www.snap.com/political-ads/asset/8edec7253c548007ae5194f3c48015510dff626e6768b48f772cbef3a8c2e192?mediaType=mp4,,Montana,
Wavelength Strategy,290121,36899800,USD,Elissa Slotkin for Michigan,Elissa Slotkin for Michigan,,18+,united states,US,https://www.snap.com/political-ads/asset/503abc2ed47d9de34461e8f1a53454bf34dd2c2c69ba5508744fc6acc429e349?mediaType=mp4,,Michigan,
Duty and Honor,215626,34074184,USD,,Duty and Honor,,18+,united states,US,https://www.snap.com/political-ads/asset/b616dd04736f89171358d215b08eafd1f0234a4ee95c81381a4b039c97de4513?mediaType=mp4,,,"Ohio,Maryland,Delaware,West Virginia,New York,New Jersey"
Direct Persuasion Group,352846,31714492,USD,,Send the Vote,MALE,18-35,united states,US,https://www.snap.com/political-ads/asset/289520a065a24cdc175759265242e970800cb6ec9c88ec6970c64cfd63c9599e?mediaType=jpg,"Clubbers & Party People,Collegiates,Crypto Enthusiasts,Gamers,Investors & Entrepreneurs,Meme Watchers,Men's Lifestyle,Money Minders,News Watchers,Social Drinkers,Sports Fans,Techies & Gadget Fans,Adventure Seekers,Advocates & Activists,Automotive Enthusiasts,Action & Thriller Genre Fans,Comedy Fans,Horror Genre Fans,Sci-fi & Fantasy Fans,Superhero Film Fans,Fitness Enthusiasts,Burger Lovers,Candy & Sweets Lovers,Energy Drink Consumers,Fast Food Junkies,Pizza Lovers,Soft Drink Consumers,Math & Science Enthusiasts,Country Music Fans,Concert & Festival Goers,Hip-Hop Music Fans,Pop Music Fans,Rock Music Fans,Outdoor & Nature Enthusiasts,Automotive Shoppers,Big Box Shoppers,Discount & Thrifty Shoppers,Luxury Shoppers,Men's Fashion Shoppers,Online Shoppers,Wellness & Healthy Lifestyle,shp_22,shp_38,shp_78,shp_83,shp_28,shp_39,shp_75,shp_79,shp_40,shp_80,shp_42,shp_122,shp_30,shp_123,shp_18,shp_76,shp_129,shp_74,shp_3,shp_98,shp_19,shp_31,shp_65,shp_24,shp_7,shp_47,shp_77,shp_126,shp_9,vac_3,vac_7,vac_12,vac_8,vac_14,vac_54,vac_99,vac_103,vac_64,vac_96,vac_125,vac_137,vac_253,vac_168,vac_245,vac_181,vac_193,vac_201,vac_206,vac_208,vac_216,vac_218,vac_220,vac_219,vac_223,vac_227,vac_235",Michigan,
Uber Technologies  Inc.,416600,30118144,USD,,Uber,,18+,united states,"1455 Market St. 4th Floor,San Francsico,94103,US",https://www.snap.com/political-ads/asset/b5a62805061316e929cbcda0a26c519e87862f6dea91473c293db86e8b0d3abb?mediaType=mp4,,"Alabama,Alaska,Arizona,Arkansas,Colorado,Connecticut,Delaware,District of Columbia,Florida,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming",
Patagonia Europe,265319,28271395,EUR,EU Parliament Elections,Patagonia,,18+,germany,"Jollemanhof 11,Amsterdam,1061TJ,NL",https://www.snap.com/political-ads/asset/ca95b5ca502ef65d1746deabc231f2b3b9c450f0119d6c3ef2748878ef4c9c2d?mediaType=mp4,"Green Living Enthusiasts,Outdoor & Nature Enthusiasts,Collegiates",,
Amazon Prime Video,423452,26727900,USD,,Amazon Prime Video,,18-49,united states,"1620 26th Street,Santa Monica,90404,US",https://www.snap.com/political-ads/asset/86c322c774f052fa1e7fa7bc7aa2fa48a19057880806d5315c51a70df865ee49?mediaType=mp4,News Watchers,,
Islamic Relief USA,367188,25785946,USD,,Islamic Relief USA,,18+,united states,"3655 Wheeler Ave,Alexandria,22304,US",https://www.snap.com/political-ads/asset/0654c94fcfb14576a6bd2f7c1c311698f877292477057f2c8b13dafca0b0f99e?mediaType=jpg,,,
Courier Newsroom,391149,25574019,USD,The Keystone,The Keystone,,18+,united states,"101 6th Ave Fl 8-9,New York,10013,US",https://www.snap.com/political-ads/asset/1c35dd26789bf70da98fc7aad7ef0e99b0ad75b15223d49d28d0074e322d02c6?mediaType=jpg,,,
Snap,899991,24801345,USD,US Presidential Election,Team Snapchat,,18-35,united states,"2772 Donald Douglas Loop N,Santa Monica,90001,US",https://www.snap.com/political-ads/asset/e774e99c8005a57399328f8f19f38735a1d79ae0691e4b24d0352b65b1c3a5c2?mediaType=mp4,,District of Columbia,
Australian Government Department of Finance,84966,24372804,AUD,,Department of Social Services,,16-18,australia,"C/- 100 Chalmers Street,Surry Hills,2010,AU",https://www.snap.com/political-ads/asset/3162167abb2629ebbcd546a363f3b412a1f12dd8032236c7f4c03f3a3e52ffb8?mediaType=mp4,,,
Wavelength Strategy,340510,24107363,USD,,Friends of Sherrod Brown,,18+,united states,US,https://www.snap.com/political-ads/asset/e1547bdda8aeedd91c5cea9f54563ef85db7ffe2ff858e39daadb20ab359db79?mediaType=mp4,"targetsmart_16,targetsmart_21,Cleveland Browns Fans,Do-It-Yourselfers,Country Music Fans,Rock Music Fans,Money Minders,Math & Science Enthusiasts,Water Sport Enthusiasts,eSports Enthusiasts,Cincinnati Bengals Fans,College Football Fans",Ohio,
Middle Seat Consulting  LLC,187630,24088466,USD,Forward Blue,Forward Blue,,18-24,united states,"Po Box 21600,Washington,20009,US",https://www.snap.com/political-ads/asset/82075bb331bf57a127f8b10801ea80d8e28e718a90cedc9a124dae547fb5306a?mediaType=mp4,targetsmart_01,Wisconsin,
Courier Newsroom,311060,23509821,USD,Cardinal and Pine,Cardinal & Pine,,18+,united states,"101 6th Ave Fl 8-9,New York,10013,US",https://www.snap.com/political-ads/asset/d3bd40f1b50d52c2c15ff7d7ed7aa006f49046177f0828272b998b32242a33c9?mediaType=mp4,,,
Priorities USA,246162,22663129,USD,,Priorities USA,FEMALE,18-44,united states,US,https://www.snap.com/political-ads/asset/40c50fb25160b8dd2d114524c183d785f282b8560f8d54434460de5e3df727e0?mediaType=mp4,,,
Project Unloaded,101841,22432551,USD,,"Project Unloaded, Inc.",,17-,united states,"1 East Erie Street, Suite 525 #4787,Chicago,60611,US",https://www.snap.com/political-ads/asset/f7267f1d45b76c4b1b8f62530dae360043f69d983d9d1ba405e63f6fe55550cf?mediaType=mp4,,,
Smile Internet Technologies Private Limited,1990097,21032518,INR,Narendra Modi,BHARTIYA JANTA PARTY,,18+,india,"Plot No. 241, Ground Floor, Udyog Vihar, Phase 1,Gurgaon,122016,IN",https://www.snap.com/political-ads/asset/d11a3bc69263dfcea1c46a4728a1d38a3f122fad93a92c627b96fc7309a80024?mediaType=mp4,,Madhya Pradesh,
Initiative Media GmbH,45828,20713741,EUR,CDU,CDU,,30+,,"Großer Burstah 1-3,Hamburg,20457,DE",https://www.snap.com/political-ads/asset/46e0d3f49a41b9f79a6b25d745a4a7ce02d6e01327ceeb0b7c5c6a5e2f6643ed?mediaType=jpg,,,
Bully Pulpit Interactive,258168,20297214,USD,,Climate Power,,,united states,"1445 New York Ave NW,Washington,20005,US",https://www.snap.com/political-ads/asset/5dc2c7b077737c40d32c2d6d5d2c729694f181c0ba5613c69389235da6c28e5d?mediaType=jpeg,,"Arizona,Georgia,North Carolina,Nevada",
Courier Newsroom,277307,18523498,USD,The Gander,The 'Gander,,18+,united states,"101 6th Ave Fl 8-9,New York,10013,US",https://www.snap.com/political-ads/asset/c17110df72ca4ed6da8e323c8c5c65adb171538b01e67128363a1cda6f5735f1?mediaType=mp4,,,
Courier Newsroom,238977,17898053,USD,The Copper Courier,The Copper Courier,,18+,united states,"101 6th Ave Fl 8-9,New York,10013,US",https://www.snap.com/political-ads/asset/5074913c323e22aad2d50a69fc74d5e6268c9425c0efca34786f57d1d8dc8a67?mediaType=mp4,,,
MNI Targeted Media,90247,17488912,USD,Americans for Consumer Protection,Americans for ConsumerProtection,,18+,united states,"225 High Ridge Road, East Building,Stamford,06905,US",https://www.snap.com/political-ads/asset/8897a2aa39a47b2bdcbcfd41cc960823ceefc7565e37821989e019ad97c3f71f?mediaType=mov,"vac_255,vac_54,Gas Store Buyers - All Buyers,shp_40,Convenience Store Buyers,shp_129,shp_128,Baseball Fans,Basketball Fans,College Basketball Fans,College Football Fans,Cricket Fans,Fight & Wrestling Fans,Golfers,Hockey Fans,Motor Sports Fans,Social Drinkers,Sneakerheads,Soul & R&B Fans,Hip-Hop Music Fans,Clubbers & Party People",Michigan,
Way to Win Action Fund,113855,17097751,USD,Kamala Harris,Way to Win Action Fund,,18+,united states,US,https://www.snap.com/political-ads/asset/444397b0f76c8993cbf51d0aa45171217606012e49da9d2c26380f505a7ac6b8?mediaType=mp4,,North Carolina,
Voter Formation Project,241492,16255550,USD,,Voter Formation Project,,18+,united states,"712 H St NE PMB 41,Washington,20002,US",https://www.snap.com/political-ads/asset/115e9831a20e9c0eae73df85cdb3280179da5ec30573132ab926ab8e847a0ab9?mediaType=jpeg,,Pennsylvania,"South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,Rhode Island,Oregon,Oklahoma,Ohio,North Dakota,North Carolina,New York,New Mexico,New Jersey,New Hampshire,Nevada,Nebraska,Montana,Missouri,Mississippi,Minnesota,Michigan,Massachusetts,Maryland,Maine,Louisiana,Kentucky,Kansas,Iowa,Indiana,Illinois,Idaho,Hawaii,Georgia,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Arizona,West Virginia,Wisconsin,Wyoming,Alaska,Alabama"
JVA Campaigns,331593,16009540,USD,Nonpartisan GOTV,Future Majority,,18-40,united states,US,https://www.snap.com/political-ads/asset/130e38b1ca3375aaf06c36743c89fa191277e7ced64362b5628fc1f6d6a1c436?mediaType=jpg,,Nevada,
Project Unloaded,79810,15275372,USD,,New Venture Fund,,17-,united states,"1 East Erie Street, Suite 525 #4787,Chicago,60611,US",https://www.snap.com/political-ads/asset/c87813bb0a8641eb7d21cb749401ca74b781d6146ee0d4124e3d9d6b042eda11?mediaType=mp4,,,
Bully Pulpit Interactive,81198,14845629,USD,,Future Forward USA Action,,18+,,"1445 New York Ave NW,Washington,20005,US",https://www.snap.com/political-ads/asset/bb055e07f353f1f02be65b4aae3c7204a6ac8299106e7fb2ec056e1d97fbb016?mediaType=jpeg,,,
Colorado Secretary of State,74930,14359897,USD,,Colorado Department of State,,18+,united states,US,https://www.snap.com/political-ads/asset/f6b4293cbcd334d2c7041187e2a6aec5cfcf6cbe9b7930ab99bc3fe2ed356261?mediaType=mp4,,Colorado,
Vote Texas,67603,14188263,USD,,Paid for by TXSecretaryofState,,18+,united states,"1019 Brazos Street, Suite 405 Austin, Texas 78711,Austin,78711,US",https://www.snap.com/political-ads/asset/92e4922e98d9bd8a9ba97d2084f72022a3e1dfbdd6e215d32a03eb2ac5b21cc9?mediaType=png,,Texas,
Chong and Koster,369591,14137450,USD,,Voter Participation Center,,18+,united states,"1707 L St NW Suite 950,Washington,20036,US",https://www.snap.com/political-ads/asset/fbf705158660178a65e2abdd53469d801565d296d55904d557bb129db04c6b41?mediaType=mp4,,Arizona,
Turnout Activism Inc.,69198,14098059,USD,TurnUp Activism,Turnout Activism Inc.,FEMALE,17-29,united states,"35 Walden St #3g,Cambridge,02140,US",https://www.snap.com/political-ads/asset/9c239e15c941a4a2ef201f286369b3eadf1bc2542bd8a4e5d8fd2a753704c707?mediaType=MOV,,Montana,
Facts for Peace LLC,259124,13920924,USD,,Facts for Peace LLC,FEMALE,18-24,united states,US,https://www.snap.com/political-ads/asset/4d651bf8fabafd5b402aaf289ea8be7d7b0becc6450574864928b3a5e7ce37d3?mediaType=mp4,,,
Watershed Strategy,148448,12655898,USD,,League of Conservation Voters,,18-35,united states,"1250 Connecticut Ave NW, Suite 700,Washington,20036,US",https://www.snap.com/political-ads/asset/79cef1ee9479485bb917fb701fa27165dd192198ccead542a83b9d4d1e94de6c?mediaType=png,"targetsmart_23,targetsmart_22,targetsmart_15,targetsmart_18","North Carolina,Virginia,Pennsylvania",
NowThis,176945,12532631,USD,,NowThis Media,,18-45,united states,"568 Broadway, FL 11,11th floor,New York,10012,US",https://www.snap.com/political-ads/asset/ee793bde7aed5822efb2e99561f609f229562072d4ddabaf8f0fe48062b99b90?mediaType=mp4,"Advocates & Activists,Arts & Culture Mavens,Green Living Enthusiasts,Women's Lifestyle","Arizona,Georgia,Michigan,Montana,Nevada,Ohio,Pennsylvania,Wisconsin,North Carolina",
MVAR Media,102296,12155072,USD,,END CITIZENS UNITED,,18+,united states,"1421 Prince St Suite 320,Alexandria,22314,US",https://www.snap.com/political-ads/asset/00ae002cf57b2563d7cb8365e43f3df2cb9da1228747c85243d47843e379a6ce?mediaType=jpg,,Montana,
Human Appeal  Arabic,11560,11853375,GBP,,HUMAN APPEAL,,25+,saudi arabia,GB,https://www.snap.com/political-ads/asset/9a0b3845a18b698d2ebd70feb2d91dcce838ab8dd9b1268d156c354faf1fe4aa?mediaType=mp4,,,
Courier Newsroom,110568,10739575,USD,UpNorthNews,UpNorthNews,,18+,united states,"101 6th Ave Fl 8-9,New York,10013,US",https://www.snap.com/political-ads/asset/9032837e241980c7ba5b8fea7b27ed283bcba8fc53fbdea38949f386347ce67f?mediaType=mp4,,,
Mindshare Media Ireland Ltd,5679,10680475,EUR,,An Coimisiún Toghcháin,,18+,ireland,"1 High Street, Christchurch, Dublin 8, Ireland,Dublin,DO8 VOVE,IE",https://www.snap.com/political-ads/asset/b97f56fb0b855e211d8fcfcb3bbbeaa27140900f5f8f53930b17535117a8a8dd?mediaType=mp4,,,
Gambit Strategies,111105,10561308,USD,,LCV Victory Fund,,18+,united states,"2939 Van Ness St NW #1006,Washington,20008,US",https://www.snap.com/political-ads/asset/849300bbe6b9df1fe15b8aa7ca1a11dfb7d500098134c4e774cc3f7e57b0c21b?mediaType=png,,Pennsylvania,
Human Age Digital,68695,9642637,USD,John Duarte,DCCC,,18+,united states,US,https://www.snap.com/political-ads/asset/d4f818cb87ab2da1b990fdf0a815ddf9c8d06050b9f31cdd3469e19455197b68?mediaType=mp4,,,
ORIXA MEDIA,12718,9635274,EUR,,Human Appeal Belgium,,18+,belgium,"72 rue d'hauteville,PARIS,75010,FR",https://www.snap.com/political-ads/asset/77a06c647112d511db4fce89da0ca440c73c50318c478e45b02eba5c29e5c08d?mediaType=mp4,,,
DSPolitical,72446,9626986,USD,NYC Votes,New York City Campaign Finance B,,18-35,united states,US,https://www.snap.com/political-ads/asset/b83ccb58ec6c29b310992dded45446842517c3d6ee6865afa3e1d0546f4cf430?mediaType=mp4,,,
Priorities USA,99238,9290192,USD,,Priorities USA & NAACP,,18+,united states,US,https://www.snap.com/political-ads/asset/fc97cdb7e95062bbc9502adb1e13eb2481d383c5b637898d6af49ef612b90bbe?mediaType=mp4,"Hip-Hop Music Fans,Soul & R&B Fans",,
Authentic Campaigns Inc,85656,8983089,USD,Adam Schiff For Senate,Schiff for Senate,,18+,united states,"4422 N Ravenswood Ave # 101,Chicago,60640-5803,US",https://www.snap.com/political-ads/asset/af37167f209c4d293e65a87a55b97a5492b3440a7af66da736f010954672e53d?mediaType=mp4,,California,
AL Media,91151,8964789,USD,Montanans Securing Reproductive Rights,MT Securing Reproductive Rights,,18-35,united states,"222 W Ontario, Suite 600,,Chicago,60654,US",https://www.snap.com/political-ads/asset/02c7a869c28bda9a13bb87c83085520b96b5fe4b78355b1a37d09200d37b62bb?mediaType=mp4,,Montana,"Wyoming,North Dakota,South Dakota,Idaho"
MVAR Media,54000,8505793,USD,EDF Action Votes,EDF ACTION VOTES,,18+,united states,"1421 Prince St Suite 320,Alexandria,22314,US",https://www.snap.com/political-ads/asset/3d994d129e2494ffc4c4cd093b74804c403900239343d814bbde228673e6ab89?mediaType=mp4,,Michigan,
Priorities USA,71907,8338064,USD,,HRC EQUALITY VOTES,,18+,united states,US,https://www.snap.com/political-ads/asset/9d49ed3fbd37d590f7d087450ce9ad26d7866afb042f9f477afe3e37fb5a1a1e?mediaType=mp4,,,
Fusion92,51891,8260347,USD,State of Michigan Early Voter,State of Michigan,,18-29,united states,"440 West Ontario Street,Chicago,60654,US",https://www.snap.com/political-ads/asset/059a29775d4078bece3336116d0b3364bd3454f19113968f4b1080db9357cf14?mediaType=mp4,,Michigan,
Commonwealth Communications,158782,8108299,USD,Project 26 Pennsylvania,Project 26 Pennsylvania,,18-25,united states,"724 LINCOLN BLVD,Venice,90291,US",https://www.snap.com/political-ads/asset/e15fd275e397e901bd0abe255ed2b2dbb04e1822ac341ff9513d8b6b3a4ba711?mediaType=mp4,,,
Greater London Authority,17629,8025970,GBP,,Greater London Authority,,18+,united kingdom,"City Hall, Kamal Chunchie Way,,London,E16 1ZE,GB",https://www.snap.com/political-ads/asset/224a0b2cbfa69dd77ead17215d047ae009264b897d4ce795952b70912f9b593d?mediaType=mp4,,London,
Full Beam Media,29001,7875038,EUR,,Full Beam Media,FEMALE,25-42,,IE,https://www.snap.com/political-ads/asset/83f0512c8a7442ce23f3a4a158a2d99a368392be9b8af9b6fffc4cfc291b8589?mediaType=mp4,,,
Democratic National Committee,77953,7798155,USD,,Democratic National Committee,,18+,united states,"131 16th Street NE,Washington,20003,US",https://www.snap.com/political-ads/asset/acb49f43855051697ac0002dfe63442eab2c599d5d454710632c07e49a51f4b8?mediaType=png,slc_10124,"Georgia,North Carolina,Nevada,Arizona,New Hampshire,Michigan,Pennsylvania",
Pebble Media,4985,7737975,EUR,Vlaamse Overheid,Vlaamse Overheid,,17-24,belgium,"Harensesteenweg 226,Vilvoorde,1800,BE",https://www.snap.com/political-ads/asset/d3d669560393605567d3d38b5260c6212e36cac975ad577c88f60a5a8f67ad73?mediaType=mp4,,"Antwerpen,Limburg,Oost - Vlaanderen,Vlaams Brabant,West - Vlaanderen",
Pebble Media,2849,7714203,EUR,Theo Francken,N-VA,,16-24,belgium,"Harensesteenweg 226,Vilvoorde,1800,BE",https://www.snap.com/political-ads/asset/0910606e6b58f73977326ca934586e3345db052163c32fca9e421b765dee38f3?mediaType=mp4,,"Antwerpen,Limburg,Oost - Vlaanderen,Vlaams Brabant,West - Vlaanderen",
Blueprint Interactive,41998,7659352,USD,Kamala Harris,Won't PAC Down,,18-29,united states,"1730 Rhode Island Ave NW Suite 1014,Washington,20036,US",https://www.snap.com/political-ads/asset/2ae4ca746ac5fce530e6acf537b7fa35005da692f8874ac51ed7892fc7f74cb4?mediaType=mp4,,Pennsylvania,
Wavelength Strategy,102847,7641452,USD,,Katie Porter for Senate,,18+,united states,US,https://www.snap.com/political-ads/asset/74af44f29ffb8158ec95a068dd8a1fb312baba8676bf3634e15d8129dc91f513?mediaType=mp4,,,
WKQ Media LLC,51140,7541132,USD,Housing Choice and Encouraging Students to Vote,For Michigan,,18-35,united states,"1502 Kearny St NE,Washington,20017,US",https://www.snap.com/political-ads/asset/062577ac5fd0add87c2bb0ed4b671d638a0cdc9dac575743e52924dd34914c1a?mediaType=mp4,Collegiates,,
M.i. Media,17369,7451676,GBP,,Unison,,18+,united kingdom,"78 Whitfield Street,Fitzrovia,W1T 4EZ,GB",https://www.snap.com/political-ads/asset/772c33a9b5a6b1d8629759dc12d87b4d5452b565fbca4d199c5db2cc65e3a625?mediaType=mp4,,"London,Devon,Dorset,Gloucestershire,South Gloucestershire,Somerset,North Somerset,Bath and North East Somerset,Cornwall,Wiltshire,West Berkshire,Buckinghamshire,East Sussex,Isle of Wight,Hampshire,Kent,Oxfordshire,Cambridgeshire,Surrey,West Sussex","Cheshire East,Cumbria,Liverpool,Manchester,Lancashire,Lincolnshire,Derbyshire,Herefordshire,Leicestershire,Northamptonshire,Nottinghamshire,Rutland,Shropshire,Staffordshire,Warwickshire,Worcestershire"
The New Media Firm,16997,7218926,USD,Promote the Vote Fund,Promote the Vote Fund,,,united states,"1730 Rhode Island Ave, NW Ste 213,Washington,20036,US",https://www.snap.com/political-ads/asset/50b38823fc63008b6113bd8ad46d9960492f098a5f9061337253404fac2c2e33?mediaType=mp4,"Advocates & Activists,Collegiates,Political News Watchers,Green Living Enthusiasts",,
Blueprint Interactive,144297,6738665,USD,Kamala Harris,Future Voice,,18-29,united states,"1730 Rhode Island Ave NW Suite 1014,Washington,20036,US",https://www.snap.com/political-ads/asset/2cdc31d729c997545a08ace2aae156d0610bef82aa185f909c79ce30b2c16d0a?mediaType=mp4,,Wisconsin,
Wavelength Strategy,54433,6677684,USD,,NV for Reproductive Freedom,,18+,united states,US,https://www.snap.com/political-ads/asset/4d8d79fe96834796f515dffe0038543d21581e1c67d33d57a74d51ce397be12b?mediaType=mp4,"Hip-Hop Music Fans,Soul & R&B Fans,Sneakerheads,Men's Fashion Shoppers",Nevada,"California,Arizona,Oregon,Idaho"
AL Media,110820,6674511,USD,The Wisco Project PAC,The Wisco Project,,18-30,united states,"222 W Ontario, Suite 600,,Chicago,60654,US",https://www.snap.com/political-ads/asset/2348fcf19f4de2ca82a545df019e20bf073fc338d85b7e466ea4d513a8439b5c?mediaType=mp4,,Wisconsin,"Illinois,Minnesota,Michigan,Iowa"
Courier Newsroom,111648,6273494,USD,The Nevadan,The Nevadan,,18+,united states,"101 6th Ave Fl 8-9,New York,10013,US",https://www.snap.com/political-ads/asset/a1b0546eca329aa271596a2f47593b23f79b1bf84b1b25a0e7392647cdf9d820?mediaType=jpg,,,
HD Fund,53028,6226398,USD,,Human Development Fund (HDF),,18+,united states,US,https://www.snap.com/political-ads/asset/04e8223e193edbedb7f5bcac7a934477d1165424fb388566ca70d3e0499b4eae?mediaType=jpg,,,
Sierra Club,33602,6081673,USD,,Sierra Club,,,united states,"2101 Webster St Suite 1300,Oakland,94612,US",https://www.snap.com/political-ads/asset/a1d971f60c2acbef3acb1f12ecb35edebfbd54951e30fb7615ee6682b22597f5?mediaType=mp4,,,
WKQ Media LLC,40389,5869511,USD,ProgressNow AZ  Federal,ProgressNow AZ - Federal,,,united states,"1502 Kearny St NE,Washington,20017,US",https://www.snap.com/political-ads/asset/1941eb45a34dc45ce11edaf83fe7bfb96f79e143fd05d3cb2e21d7693b2653ea?mediaType=mp4,,Arizona,
Search for Businesses  LLC,33288,5717884,USD,,San Bernardino County,,,united states,US,https://www.snap.com/political-ads/asset/b381dae7610250b36d755f7e431e34dfd55791daf549144cc12a33aea28a417d?mediaType=mp4,,,
Wavelength Strategy,52258,5692245,USD,Andy Kim,Andy Kim for New Jersey,,18-35,united states,US,https://www.snap.com/political-ads/asset/db9a9c0178fb8d4dd0d606de4197d9db6ed883622dfd2344b6abb07a5807e584?mediaType=png,"targetsmart_01,Collegiates,targetsmart_23,targetsmart_18,targetsmart_17,targetsmart_07,targetsmart_10",New Jersey,
Assemble the Agency,35722,5688775,USD,,Communities United Action Fund,,,united states,US,https://www.snap.com/political-ads/asset/663f8df8232aa5f9a699bde7e08b7670fe260dd4d0f2a9b6730e3b7298cd714a?mediaType=mp4,,Pennsylvania,
OGBL,5175,5622286,EUR,,OGBL Luxembourg,,18+,luxembourg,LU,https://www.snap.com/political-ads/asset/5ecbe9cd04be8bd5ad2bca37dcea05f7d2d7f4d23f11c3ea74a4c8de3271445c?mediaType=mp4,,,
