OrganizationName,Spend,Impressions,Currency Codes,CandidateBallotInformation,PayingAdvertiserNames,Genders,AgeBrackets,CountryCodes,BillingAddresses,CreativeUrls,Interests,Regions (Included),Regions (Excluded)
Harris for President,8214343,709724159,USD,Kamala Harris,Harris for President,,18-34,united states,US,https://www.snap.com/political-ads/asset/40fa08534926efbcb979d817b83575ef5db8a21c4d1844acd0615ec6e59d3621?mediaType=mp4,,,
ORIXA MEDIA,577395,310405738,EUR,,Human Appeal France,,18+,france,"72 rue d'hauteville,PARIS,75010,FR",https://www.snap.com/political-ads/asset/5dc1efd20b3a1030f8cd358a9b541b9ed320af671f4893b082e353be45cbf2ef?mediaType=mp4,,,
Harris for President,1459637,225956865,USD,Joe Biden,Biden for President,,18-29,united states,US,https://www.snap.com/political-ads/asset/f4d4e65921e577aeff4e958f6b641de9c02e6309777387b4b6ada838d9b60644?mediaType=mp4,,,
Havas Media France,239768,183676975,EUR,,European Parliament,,16+,belgium,"29/30, Quai de Dion Bouton, Puteaux, 92817, France,Paris,92817,FR",https://www.snap.com/political-ads/asset/e59779a38d8ef6553b68f82d908c6deb1055c1519cd643f440f5708c3f1ed708?mediaType=jpg,,,
The Daily Wire LLC,1203152,141057485,USD,,The Daily Wire LLC,,18+,united states,"1821 12th Avenue South, Suite 460,Nashville,37203,US",https://www.snap.com/political-ads/asset/e7eee01b193051b1427830d81d3f2eac72ebc1e0603d966b4c984ab282aa5bd5?mediaType=mp4,,,
Bully Pulpit Interactive,842827,104616389,USD,,Future Forward PAC,,18+,united states,"1445 New York Ave NW,Washington,20005,US",https://www.snap.com/political-ads/asset/bf9745f07ae8d116629b150fa2c00de17e2def9e7b7d812f104f7f21f353cee0?mediaType=mp4,"targetsmart_23,targetsmart_22,targetsmart_18,targetsmart_15",Michigan,
GMMB  Inc,782558,101096602,USD,Kamala Harris,Future Forward,,18+,united states,"3050 K Street,Washington,20007,US",https://www.snap.com/political-ads/asset/cc77b85ef3bca0db91920a9dc17b4568394ae0994e15b0d10dd456eab6ac7149?mediaType=mp4,,North Carolina,
Chong and Koster,629846,99541066,USD,,WinSenate,FEMALE,18+,united states,"1640 Rhode Island Ave. NW, Suite 600,Washington,20036,US",https://www.snap.com/political-ads/asset/1251ebd4202278366e51e55b81293943d7a574908fe622ff98e9d50277e24234?mediaType=mp4,,Ohio,
Bully Pulpit Interactive,903206,85655883,USD,,Future Forward USA,,18+,united states,"1445 New York Ave NW,Washington,20005,US",https://www.snap.com/political-ads/asset/ec26b58fbc0962ed868b18ee91aea7ea4f3186ddc5452363e43496f05a311df8?mediaType=mp4,"Bachata Music Fans,Latin Music Fans,Reggaeton Music Fans,Traditional Mexican & Colombian Music Fans,Business News Watchers,Political News Watchers,targetsmart_23,targetsmart_22,targetsmart_18","Nevada,Arizona,Georgia,Wisconsin,Pennsylvania,Michigan",
Gambit Strategies,668723,65299775,USD,Majority Forward,Majority Forward,,18+,united states,"2939 Van Ness St NW #1006,Washington,20008,US",https://www.snap.com/political-ads/asset/19e17ae42fefcc6b36a767c15d111ab695e93e0e7f222859ad9440c4a363334b?mediaType=mp4,,Pennsylvania,
Working America,457680,58940152,USD,,Working America,,18+,united states,US,https://www.snap.com/political-ads/asset/eba45c6328ee5f6c995fe5ef53a35e4e251900f425c17612b14ce6e0c0d58359?mediaType=mp4,,,
MATW Project,482475,51683991,AUD,,MATW,,22+,united arab emirates,AE,,,,
