ADID,CreativeUrl,Currency Code,Spend,Impressions,StartDate,EndDate,OrganizationName,BillingAddress,CandidateBallotInformation,PayingAdvertiserName,Gender,AgeBracket,CountryCode,Regions (Included),Regions (Excluded),Electoral Districts (Included),Electoral Districts (Excluded),Radius Targeting (Included),Radius Targeting (Excluded),Metros (Included),Metros (Excluded),Postal Codes (Included),Postal Codes (Excluded),Location Categories (Included),Location Categories (Excluded),Interests,OsType,Segments,Language,AdvancedDemographics,Targeting Connection Type,Targeting Carrier (ISP),CreativeProperties
b2db9bd36f19d89e499ca103518c20a779476e3e7b88d3b8f31525a74f31986d,https://www.snap.com/political-ads/asset/9f02387e69e697e144ddde4e148fbb0eea51f456b81fb3e844dbdfdab8ad0b2e?mediaType=png,USD,457,55170,2020/02/06 05:42:51Z,2020/03/04 00:00:00Z,ACRONYM,US,,ACRONYM,,18+,united states,Texas,,,,,,,,,,,,,,,,,,,web_view_url:https://peoplespowergrab.civicengine.com/plan?utm_source=snap&utm_medium=paid-cnv&utm_campaign=ppg&utm_term=tx-map-v&utm_content=75265B18
2eba4f472c5aacd47f0502fc7e51783479baf1063e6cca8c4c219c36a8076ca1,https://www.snap.com/political-ads/asset/6fcf8e70b0690c182e8b3fcad40f512578f75c1df3708fe59f248505520a3ef3?mediaType=mp4,USD,1538,582465,2020/02/01 14:00:35Z,2020/03/01 00:10:59Z,Ciceron Inc,"126 N. 3rd Street,Minneapolis,55401,US",,Be the Match,,18-39,united states,,,,,,,,,,,,,,,,,,,,web_view_url:https://www.ourraceagainsttime.org/story-ruby-balloon/?utm_source=snapchat&utm_medium=paidsocial&utm_campaign=ourtime&utm_content=national_prospecting_ruby_balloon_lookalike_api
4ac80e167aa4a0bbd1bf5d8d27c7e1640e598c9c5b29cd8b220fe25cf2e55c08,https://www.snap.com/political-ads/asset/5afe4885562f00b52db7eb97fa9402c6088fc8721aee4e6b90d4aaa58eff6da1?mediaType=jpeg,USD,171,419711,2020/02/18 22:55:49Z,,Marud Khan,"7050 W. Palmetto Rd. Suite 15-504,Boca raton,33433,US",Donald Trump,Albbiom Marketing LLC,,,united states,,Alaska,,,,,,,,,,,,,Provided by Advertiser,,,,,web_view_url:https://www.patrioticamerican1776.com/patriot/v6/
2bef3f5496164bfb7d1b2f8beff6c55bd997fb1888f33364861ce55962ea8a0b,https://www.snap.com/political-ads/asset/6418bf9c0d63f43bb82394562aed54d4665e3738a906a901b22816a54393e8c7?mediaType=mp4,USD,97,41537,2019/10/18 20:49:11Z,2020/05/31 20:00:00Z,Blueprint Interactive,"1730 Rhode Island Ave NW Suite 1014,Washington,20036,US",,Rocky Mountain Values,FEMALE,18+,united states,,,,,latitude 39.7348;longitude -104.9653;radius 16.0,,,,,,,,,,Provided by Advertiser,,,,,web_view_url:https://conservationco.org/cory-gardner-protect-coloradans-not-polluters/
a8104c5f4321d66d2be51270b853525136abac83fafc0fe637b9fd00029b0482,https://www.snap.com/political-ads/asset/272ef9fe92d880d62c1ddba9eecd22492b201e8dc99dadb2672b05ff9a7d841a?mediaType=mp4,USD,50,27439,2020/03/29 01:27:15Z,2020/04/05 01:27:15Z,Donald For Sparks,US,Donald For Sparks,Donald For Sparks,,18+,united states,,,,,,,,,89431,,,,,,Provided by Advertiser,,,,,web_view_url:https://sparksproud.com
6d9bdc5640f0d87735d2a75562c03f73d645efd706ca689340dc64b1fe532f37,https://www.snap.com/political-ads/asset/6fcf8e70b0690c182e8b3fcad40f512578f75c1df3708fe59f248505520a3ef3?mediaType=mp4,USD,308,211168,2020/02/01 14:00:35Z,2020/03/01 00:10:59Z,Ciceron Inc,"126 N. 3rd Street,Minneapolis,55401,US",,Be the Match,,18-39,united states,,,,,,,,,,,,,,,,,,,,web_view_url:https://www.ourraceagainsttime.org/story-ruby-balloon/?utm_source=snapchat&utm_medium=paidsocial&utm_campaign=ourtime&utm_content=national_prospecting_ruby_balloon_lookalike_his
b5a19e460741a7466bfcbefa159cfc48f82fa125e94366273adcb41cc8ad06b3,https://www.snap.com/political-ads/asset/9d848e2d336e2b568613f4df4ff86c3d209a2fdf76b1cae9f9d2022d8ef952d3?mediaType=mp4,USD,80,28904,2020/04/10 18:00:00Z,2020/05/01 04:59:59Z,Havas Media Group USA LLC,"200 HUDSON STREET,New York,10013-1807,US",,Mayor Lightfoot,,18+,united states,,,,,,,Chicago,,,,,,,,Provided by Advertiser,,,,,
3b5cd25a2ecd90b1668a3828c38ec424710a373447f200c22989847070ea67a0,https://www.snap.com/political-ads/asset/dbd0b104a3f4f48eb4b349e3e1d6c2bb088738ff7b48c16d903e51209196912a?mediaType=mp4,USD,1655,518588,2020/02/10 21:48:42Z,2020/03/31 20:00:59Z,Blueprint Interactive,"1730 Rhode Island Ave NW Suite 1014,Washington,20036,US",,Conservation Colorado,FEMALE,18+,united states,,"Nebraska,Wyoming",,,,,Denver,,,,,,,,Provided by Advertiser,,,,,web_view_url:https://conservationco.org/cory-gardner-protect-coloradans-not-polluters/
402c701c0a0819f0bd017857c6678e9fd96490e448ebc2474b67b9719cace5e2,https://www.snap.com/political-ads/asset/b00cd9ddb4ebd456f30b1f82766991bf784a5daf4ddf0e05e0e07af9075d4c87?mediaType=jpg,USD,492,390512,2020/03/30 19:16:37Z,2020/06/29 03:59:59Z,Red House Communications,"1908 Sarah Street ,Pittsburgh ,15203,US",,PA Department of Health,,,united states,Pennsylvania,,,,,,,,,,,,,,Provided by Advertiser,,,,,web_view_url:https://www.pa.gov/guides/responding-to-covid-19/?utm_medium=paid%20social&utm_source=snapchat&utm_campaign=covid_19&utm_content=story
d2a0ae9ae207bceb1a1fa1a0e711e5361f3c1090d5926e890f66858f476dd330,https://www.snap.com/political-ads/asset/cbb9d1bc69b01f905026826de3eeed35161ca69d9351477c9e1deeebc61d425b?mediaType=mp4,AUD,45,8551,2020/03/09 21:00:00Z,2020/03/27 12:00:00Z,The Media Precinct,"L4, 10 Kensington Street,Chippendale,2008,AU",Rachel Gallagher,Rachel Gallagher,,25-34,australia,,,,,,,,,"4101,4012,4169",,,,,,Provided by Advertiser,,,,,web_view_url:https://www.rachelgallagher.com.au/?utm_source=tmp&utm_campaign=gabba_2020&utm_medium=snapchat&utm_content=community
