ADID,CreativeUrl,Currency Code,Spend,Impressions,StartDate,EndDate,OrganizationName,BillingAddress,CandidateBallotInformation,PayingAdvertiserName,CommitteeName,CommitteeIdentificationNumber,DisclosureNameOfCommittee,AdvertisingJurisdiction,Gender,AgeBracket,CountryCode,Regions (Included),Regions (Excluded),Electoral Districts (Included),Electoral Districts (Excluded),Radius Targeting (Included),Radius Targeting (Excluded),Metros (Included),Metros (Excluded),Postal Codes (Included),Postal Codes (Excluded),Location Categories (Included),Location Categories (Excluded),Interests,OsType,Segments,Language,AdvancedDemographics,Targeting Connection Type,Targeting Carrier (ISP),CreativeProperties
aef611dd32756033a355325457455ed8bddf3aee4f365e8ff297fb97c7417e3c,https://www.snap.com/political-ads/asset/d05cdfacb048ff93ede56b5ea822b4e686dfe4dd9991442ab9fc22adc4537275?mediaType=mp4,EUR,447,348786,2018/09/28 12:45:55Z,2018/10/12 12:29:59Z,Jalt,"Krom boomssloot 22-1,Amsterdam,1011GW,NL",,Amnesty International NL,,,,,,18+,netherlands,,,,,,,,,,,,,,,Provided by Advertiser,,,,,web_view_url:https://secure.amnesty.nl/petitie_fathy_snap?utm_source=snapchat-lead&utm_medium=social&utm_campaign=petitie-amalfathy&utm_content=story
57e32f1e9b3b92f69d7c4f62e1a1ee675fdca080b18ad3532eb365342ffd81f0,https://www.snap.com/political-ads/asset/c8d854509e28a88dcffc80c1fe48de012e6538998d74d067c771d679b5df1f96?mediaType=mp4,USD,996,105047,2018/10/17 15:00:00Z,2018/11/07 04:00:00Z,Democratic Congressional Campaign Committee,"430 S Capitol St SE,Washington,20003,US",,DCCC,,,,,,18+,united states,,,,,,,,,,,,,,,,,,,,web_view_url:https://mypollingplace.org/
43cb9bc478db32a4f442a29f949941847c81bf0c5f87dde628754a9d92e64306,https://www.snap.com/political-ads/asset/108fe3903c1b2dfe48a7d9fa34c6f98f44dd4a29bde3baae71dd6a68d82e5c76?mediaType=png,USD,114,35663,2018/09/25 05:00:00Z,2018/09/26 05:00:00Z,ACRONYM,US,,Our Lives Our Vote,,,,,,18-28,united states,Minnesota,,,,,,,,,,,,"Cordcutters,Yoga Enthusiasts,Vegans & Organic Foodies,Hipsters & Trendsetters,Math & Science Enthusiasts,Men's Lifestyle,Philanthropists,Wellness & Healthy Lifestyle,Women's Lifestyle,TV Live Event Viewers (The Academy Awards),TV Live Event Viewers (The Emmy Awards),TV Live Event Viewers (The GRAMMY Awards),TV Live Event Viewers (The Golden Globe Awards),TV Network Viewers (A&E),TV Network Viewers (BBC America),TV Network Viewers (BET),TV Network Viewers (CNN),TV Network Viewers (Discovery Channel),TV Network Viewers (HBO),TV Network Viewers (IFC),TV Network Viewers (MSNBC),TV Network Viewers (PBS),TV Network Viewers (Showtime),TV Network Viewers (SundanceTV),TV Network Viewers (Viceland)",,Provided by Advertiser,,,,,web_view_url:https://ourlivesourvote.com/register-to-vote?rtv_source=snap&rtv_tracking=NVRD_Voter_Day_Blue_Vertical2
ad8aaed9b3a55ed569e7bc937fa134edb5e86db323070aee475777537c1169c5,https://www.snap.com/political-ads/asset/bba83dcbfbfe2e22b04b747fd813f5bea09cdb7f177741c91c276fac6bb73c85?mediaType=mp4,USD,45,16229,2018/09/01 16:00:00Z,2018/10/01 06:59:00Z,"Do Something, Inc.","19 West 21st Street, 8th Floor,New York,10010,US",,DoSomething.org,,,,,,18-20,united states,,,,,,,,,,,,,,,,en,,,,"web_view_url:https://vote.dosomething.org/s/1?r=campaignID:8017,campaignRunID:8022,source:ads,source_details:snapchat&utm_medium=CPC&utm_source=Snapchat&utm_campaign=September&utm_term=Visitors&utm_content=Ad%204"
338ebf04fa18d6c449d899dad21a00c1252832376509ca7fcc7f4e893735a2c6,https://www.snap.com/political-ads/asset/7dbb6c557638e0d27e563277d1424f632e913f4e03a26830d834107fd318a8fe?mediaType=mp4,USD,316,47554,2018/10/24 14:32:45Z,2018/11/06 17:24:36Z,Chakra Strategies,"40101 Booth Kelly Road,Springfield,97478,US",,Oregon Life United,,,,,,25+,united states,Oregon,,,,,,,,,,,,,,Provided by Advertiser,,"Moms,New Parents,HHI: High Net Worth,HHI: 250k+,HHI: 100-250k,Moms (Stay at Home)",,,web_view_url:http://www.yes106.org/?utm_source=sc&utm_medium=vid&utm_campaign=oct
e7015baabf17ad91085be6808694d8459be42947f0503b98f0792874eff8188f,https://www.snap.com/political-ads/asset/560f0d3d77aafa57d8084e51e24ff8d19438768f1de3aa8c7d16e9ca47a360ea?mediaType=png,USD,1116,365071,2018/10/02 17:28:33Z,2018/10/09 03:59:44Z,ACRONYM,US,,Knock The Vote,,,,,,18-28,united states,Arizona,,,,,,,,,,,,"Arts & Culture Mavens,Bookworms & Avid Readers,Collegiates,Vegans & Organic Foodies,Green Living Enthusiasts,Hipsters & Trendsetters,Latin Music Fans,Hip-Hop Music Fans,Political News Watchers,Philanthropists",,Provided by Advertiser,,,,,web_view_url:https://join.knockthe.vote/swag?swag=yes
3afe4767464ef606a54dfc9cd3242b5332ac5a01d6e310a2024046db54208bb5,https://www.snap.com/political-ads/asset/1c251f988883b79191ce85efe351d29c49e26fe4b2242ef47406c5ff369f761d?mediaType=mp4,EUR,2464,1698498,2018/09/24 02:00:00Z,2018/10/14 09:33:20Z,Dentsu Norge AS – Carat,"Kristian Augusts gate 23,Oslo,0164 Oslo ,NO",,VG,,,,,,15+,norway,,,,,,,,,,,,,,,Provided by Advertiser,,,,,
c94420a36c7da322a3dab67dfbc67c2177d58408a22294f53676f74a3a34aab0,https://www.snap.com/political-ads/asset/9dfa5f13006d94b7b99a575d0f4c548cd0c9c2064e8455d1d510de29a88444fc?mediaType=png,USD,1615,475773,2018/10/02 17:28:33Z,2018/10/09 03:59:44Z,ACRONYM,US,,Knock The Vote,,,,,,18-28,united states,Arizona,,,,,,,,,,,,"Arts & Culture Mavens,Bookworms & Avid Readers,Collegiates,Vegans & Organic Foodies,Green Living Enthusiasts,Hipsters & Trendsetters,Latin Music Fans,Hip-Hop Music Fans,Political News Watchers,Philanthropists",,Provided by Advertiser,,,,,web_view_url:https://join.knockthe.vote/swag?swag=yes
b872d24f69c6bf8a00d89ba232bde8eeef27b2e09a48694bf63d53175cded964,https://www.snap.com/political-ads/asset/c8ab2de346912fae2e0bf964feac24cccc53e61b61a9c9417f37811c965ddaff?mediaType=mp4,USD,57,20718,2018/08/24 15:52:38Z,2018/08/31 14:54:28Z,Civiqs,US,,Civiqs,,,,,,18+,united states,Florida,,,,,,,,,,,,"Political News Watchers,dlxc_125,TV Viewers (Reality TV)",,Provided by Advertiser,,,,,web_view_url:https://civiqs.com/p/XzpjGQ?utm_source=snapchat&utm_content=primaries&utm_campaign=fl_primary_2018_sen
58d05d7a378d01641088c8d669775e70abe5c170bb96760259aefed828b956b4,https://www.snap.com/political-ads/asset/304dee56a01f70ae169579d96c3c04267517c08a84ecb5d09d75b970ad5ec06e?mediaType=mp4,USD,2805,445628,2018/10/18 19:42:18Z,2018/11/06 23:00:00Z,Bully Pulpit Interactive,"1445 New York Ave NW,Washington,20005,US",,NextGen America,,,,,,18-34,united states,,,,,,,,,"89120,89169,89119,89108,89110,89103,89160,89162,89112,89158,89193,89117,89170,89113,89146,89074,89147,89102,89450,89435,89425,89421,89822,89423,89445,89803,89439,89833,89447,89431,89504,89413,89402,89424,89507,89512,89821,89408,89503,89505,89407,89533,89429,89706,89406,89411,89441,89832,89506,89310,89412,89703,89029,89141,89046,89134,89123,89105,89052,89144,89012,89135,89016,89124,89006,89140,89014,89148,89009,89161,89199,89077,89031,89191,89042,89315,89301,89136,89409,89032,89166,89010,89001,89131,89034,89024,89318,89427,89049,89143,89025,89020,89040,89165,89311",,,,,,,,,,,web_view_url:https://nextgenamerica.org/lookup/?utm_campaign=GOTV_NV_Impact&utm_source=snapchat&utm_medium=cpc&utm_content=Last-Chance
