OrganizationName,Spend,Impressions,Currency Codes,CandidateBallotInformation,PayingAdvertiserNames,Genders,AgeBrackets,CountryCodes,BillingAddresses,CreativeUrls,Interests,Regions (Included),Regions (Excluded)
Høyre,1651985,29623054,NOK,,Høyre,,20-39,norway,"Stortingsgaten 20,Oslo,0161,NO",https://www.snap.com/political-ads/asset/d22b9bee1ed035aeb09d9fe00f034dae249cc03df1c34cb33f9feb719a28b3a7?mediaType=mp4,,,
Miljøpartiet De Grønne,1389745,19743158,NOK,,Miljøpartiet de Grønne,,17-40,norway,"Hausmanns gate 19,Oslo,0188,NO",https://www.snap.com/political-ads/asset/cae74d5673ab73a351ef5332f35676fbaa2b5f504806c534b9a0fbed1a792821?mediaType=mp4,"Green Living Enthusiasts,Outdoor & Nature Enthusiasts",,
Mediabrands France,945825,184599180,EUR,,The Climate Pledge,,18+,france,"28/34 boulevard du Parc,Neuilly sur Seine,92521,FR",https://www.snap.com/political-ads/asset/39fe48fcd1506b67858f634be83c2e5341d3f060bfb8beca42d7d0bd240aff02?mediaType=mp4,"Green Living Enthusiasts,Outdoor & Nature Enthusiasts,Pet & Animal Lovers,Wellness & Healthy Lifestyle",,
Arbeiderpartiet,913139,34734838,EUR,,Arbeiderpartiet,,18+,norway,"Youngstorget 2A,OSLO,0028,NO",https://www.snap.com/political-ads/asset/0611325f221f4986bf66a7ba4d274adf79a7eb693f15a0657cc4f5e3795d0ca6?mediaType=png,,,
Bully Pulpit Interactive,576240,152827837,USD,,American Civil Liberties Union,,18-25,united states,"1445 New York Ave NW,Washington,20005,US",https://www.snap.com/political-ads/asset/104e321849ebeaaed05f6511ecc681d52fc1bfc817db373de8194e0e5f570bea?mediaType=png,Advocates & Activists,,
Mediabrands NV/SA,387387,229268182,EUR,,European Commission,,16-24,luxembourg,"I. Vandammestraat 5-7 D ,Hoeilaart,1560,BE",https://www.snap.com/political-ads/asset/b6d8a5f7062d29887a9f061a366922aaf9319e98b1e16df73ba0df8829b0a77c?mediaType=mp4,,,
Unilever US - 360i,359859,85411500,USD,,Ben & Jerry's,,18+,united states,"32 Avenue of the Americas,New York,10013,US",https://www.snap.com/political-ads/asset/c1c647a25b2100ac88dd89013da154d667f9aa6a128607ef5fb251da806d8b5e?mediaType=mp4,,,
AL Media,327862,41644985,USD,,Fair Fight Action,,18+,united states,"222 W. Ontario,Chicago,60654,US",https://www.snap.com/political-ads/asset/fa5f1cf070f66023be420703a4f0bf91026c0133b3e4c32a54c57a05d44ee7fb?mediaType=mp4,"Green Living Enthusiasts,Hip-Hop Music Fans,Soul & R&B Fans,TV Network Viewers (MSNBC),TV Network Viewers (BET),TV Network Viewers (MTV),Eco-Conscious Shoppers",Arizona,
Wavelength Strategy,240772,26304348,USD,,End Citizens United,,18+,united states,US,https://www.snap.com/political-ads/asset/c88d87362ae5dcfe403206beabb080d3a836eafae506b1ca1d2ec49f77d08846?mediaType=mp4,"Advocates & Activists,Green Living Enthusiasts,Political News Watchers,Philanthropists,TV Network Viewers (CNN),TV Network Viewers (MSNBC)",Arizona,
Venstre,229237,7879651,NOK,Guri Melby,Venstre,,17+,norway,"Møllergata 16,Oslo,0179,NO",https://www.snap.com/political-ads/asset/f8d391809eb386bc1148d1d7b7430372c68c6f086cd0e506556ecbdd8d2755bf?mediaType=mp4,,,
Mindshare Norway AS,195229,4896020,NOK,,Helsedirektoratet,,15-17,norway,"Kongens gate 6,Oslo,0153,NO",https://www.snap.com/political-ads/asset/225f22fa6e9d57a608ad6e551760f7b038a7083267aaceaa7fd6052383ed715f?mediaType=mp4,,,
