ADID,CreativeUrl,Currency Code,Spend,Impressions,StartDate,EndDate,OrganizationName,BillingAddress,CandidateBallotInformation,PayingAdvertiserName,CommitteeName,CommitteeIdentificationNumber,DisclosureNameOfCommittee,AdvertisingJurisdiction,Gender,AgeBracket,CountryCode,Regions (Included),Regions (Excluded),Electoral Districts (Included),Electoral Districts (Excluded),Radius Targeting (Included),Radius Targeting (Excluded),Metros (Included),Metros (Excluded),Postal Codes (Included),Postal Codes (Excluded),Location Categories (Included),Location Categories (Excluded),Interests,OsType,Segments,Language,AdvancedDemographics,Targeting Connection Type,Targeting Carrier (ISP),CreativeProperties
da1eb04dab50fac2ea18741a8eebccde8a02f84af8f5cef92f0da02d904cf17a,https://www.snap.com/political-ads/asset/effd9efa82477013b021900712a38206fa5014113414214c812bfaaddf3c10f6?mediaType=png,EUR,2000,1589179,2019/09/03 18:13:20Z,2019/09/08 21:59:59Z,"Mindshare Norway AS ","Kongens gate 6,Oslo,0153,NO",,Den Norske Kirke,,,,,,14-17,norway,,,,,,,,,,,,,,,Provided by Advertiser,,,,,web_view_url:https://kirken.no/nb-NO/om-kirken/slik-styres-kirken/kirkevalget/?utm_source=snapchat&utm_medium=Display&utm_campaign=KIRKEVALGET_2019_W25-36{CUID:b1e05a55-aad7-4b48-84a0-aa5b011223a5}
bbc15f4db2f6879b0cf52231ff25a0e201de62f356671285a308f9cd2142d1bd,https://www.snap.com/political-ads/asset/22049857ccdb45e1f6e24bcc2c8ec15550649d2dd7f41f7fe8e04bd7f10a31c5?mediaType=mp4,CAD,278,100401,2019/06/03 07:00:00Z,2019/08/08 06:59:59Z,The Aber Group,"608-120 Eglinton Avenue East,Toronto,M4P1E2,CA",,Plan International Canada,,,,,MALE,18-24,canada,,,,,,,,,,,,,"Arts & Culture Mavens,Beauty Mavens,Bookworms & Avid Readers,Fashion & Style Gurus,Film & TV Fans,Green Living Enthusiasts,Hipsters & Trendsetters,Home Decoristas,Music Fans,News Watchers",,,en,,,,web_view_url:https://plancanada.ca/ChangeTheBirthStory?utm_campaign=SHOW&utm_source=snapchat-cpe&utm_medium=social
420f591f97a079f2e4e7427f00ae9e50fd5814c7350ad03b76e0c49678b7fcbf,https://www.snap.com/political-ads/asset/8618627f2673919202e7e1d6b962b6cb42fbf57e5060348a4422327b25aced53?mediaType=mp4,USD,35,11150,2019/11/25 20:18:34Z,2019/11/30 20:18:39Z,Civology,US,Civology,Civology Inc.,,,,,,18+,united states,,,,,,,,,"95120,95123,95136,95118",,,,,,Provided by Advertiser,en,,,,web_view_url:http://poll.civology.com/sjc?refsource=snap-SJCBV0
6f301745d97d98d5294ef1055bb44a8df78224f3ae7be9f455542d70c0c1d2c4,https://www.snap.com/political-ads/asset/a4f1665f47fe0fb68220125c3240b6004cf9d7199040ffadd3e32076e27311a2?mediaType=mp4,EUR,17,12725,2019/02/26 22:00:00Z,2019/03/01 14:00:00Z,Media House LT,"Aukstaičių 7,Vilnius,LT-11341,LT",,"Už vilnius, kurio didžiuojamės",,,,,,18+,lithuania,,,,,latitude 54.68333;longitude 25.28333;radius 10.0,,,,,,,,,,Provided by Advertiser,,,,,web_view_url:http://www.simasius.lt/?utm_source=Snapchatk&utm_medium=Stories&utm_campaign=Vilniaus_mero_rinkimai
097a976ff1072522cedc62169e2154d580ee0795c5743c221054ea9b12d9e46f,https://www.snap.com/political-ads/asset/94e841419fd99b223859be465b3a4b8fc9dd55d4277367867d93847df6394434?mediaType=mp4,GBP,19,10634,2019/11/26 00:30:42Z,2019/11/26 23:00:00Z,HOPE not hate Charitable Trust,"1 Clothier St,London,E1 POA,GB",,HOPE not hate Charitable Trust,,,,,,18-40,united kingdom,,,,,,,,,,,,,,,Provided by Advertiser,,,,,web_view_url:https://www.gov.uk/register-to-vote
3ed80a89025f1e6b1670f42907b153a7dc5c3ac0bdf8a449334c58fb67035f72,https://www.snap.com/political-ads/asset/be27c9744eb1ba18b6e1fd6b426103728b33c6ed21b4dca6713b60a78fe3997e?mediaType=mp4,EUR,40,39236,2019/04/29 10:00:00Z,2019/05/02 22:59:59Z,SpunOut.ie,"Sean McBride House, 48 Fleet Street,,Dublin 2,D02 T883,IE",,SpunOut.ie,,,,,,18-25,ireland,,,,,,,,,,,,,,,Provided by Advertiser,,,,,web_view_url:https://spunout.ie/life/article/who-can-vote-local-elections?utm_source=snapchat&utm_medium=social&utm_campaign=life
39519d7b63edb9fcc9de0fd6bc6c324b10e8341a3f7934acd3e86c4448ef94a7,https://www.snap.com/political-ads/asset/b416b90166c1b8bf4397b4c41ce3f7f0b8efe61191b3cd7fcba222302d577eba?mediaType=mp4,EUR,73,77658,2019/10/02 16:49:19Z,2019/10/23 21:59:26Z,ORIXA MEDIA,"79 Boulevard Richard Lenoir,PARIS,75011,FR",,CCFD-Terre Solidaire,,,,,,18+,france,,,,,,,,,,,,,Philanthropists,,Provided by Advertiser,fr,,,,web_view_url:https://reprenonslepouvoir.org?utm_medium=snapchat&utm_source=orixa&utm_campaign=isds2019&utm_content=onu
13c98db050bbb0a78b3d745829eadeb739ff15a74fecf064b71e00cb28e058fd,https://www.snap.com/political-ads/asset/1b4e5cc2551345b409ad24b47bc001c28d33ce4c018bdd4d9e34575b6b21a655?mediaType=png,USD,103,56738,2019/10/09 18:14:02Z,2019/10/14 17:50:52Z,Blueprint Interactive,"1730 Rhode Island Ave NW Suite 1014,Washington,20036,US",,National Education Association,,,,,,,united states,"Alaska,Alabama,Arizona,South Dakota,North Dakota,New Mexico,North Carolina,Minnesota,Wisconsin,Florida,Oklahoma,Washington",,,,,,,,,,,,,,Provided by Advertiser,,,,,web_view_url:https://neaedjustice.org/support-indigenous-peoples-rights?ms=snap-ag01-ad02B
7aa73c6ed16a3c63e0866fb557098ccebc808ab27afec75c777089e6bd9adec1,https://www.snap.com/political-ads/asset/568ec39471595b2eb938c5d1bc2dceadfc0971b5ae1ca119ec5c8314d3932e27?mediaType=mp4,USD,691,83285,2019/04/22 18:19:18Z,2019/05/01 03:59:00Z,Authentic Campaigns Inc,"1211 Connecticut Ave,Washington,20036,US",,Kamala Harris For The People,,,,,,21+,united states,,,,,,,,,,,,,Political News Watchers,,,,,,,web_view_url:https://action.kamalaharris.org/sign/kdh_ads_190422_evergreen_sc/?source=ads_snapchat_190422_all_ad1
4037cc079596d1c1c1721ba21b8545d695223abc456278cd22786fe6c29bfa20,https://www.snap.com/political-ads/asset/ede4d919e279bedffebb2bf189ffd674693bf1524507ff1fc0e263e37ba56def?mediaType=mp4,USD,21,551,2019/10/18 15:35:10Z,2019/11/05 23:00:00Z,ACRONYM,US,Get out the vote,ACRONYM,,,,,,18+,united states,,,,,,,,,,,,,,,,,,,,web_view_url:https://peoplespowergrab.civicengine.com/?utm_source=snap&utm_medium=paid-awr&utm_campaign=ppg-mob&utm_term=ky-18b34-rv-v&utm_content=E56479AF
