OrganizationName,Spend,Impressions,Currency Codes,CandidateBallotInformation,PayingAdvertiserNames,Genders,AgeBrackets,CountryCodes,BillingAddresses,CreativeUrls,Interests,Regions (Included),Regions (Excluded)
Alamo Intelligence LLC,196368,15446347,USD,One Nation,One Nation,MALE,25+,united states,"80 M St SE,Washington,20003,US",https://www.snap.com/political-ads/asset/8978013647fb1821b67b8812104a57e54133fa7340cfdd05a5254e592678955e?mediaType=png,,Maine,
Trilogy Interactive,206339,15318889,USD,,WinSenate,,18-45,united states,"2054 University Ave STE 600,Berkeley,94704,US",https://www.snap.com/political-ads/asset/2f8d8372729d4be66fdf084c22cf7eda49084e5904a327d159513d0c87fc1af1?mediaType=mp4,,Iowa,
The Daily Wire LLC,159994,14481171,USD,,The Daily Wire LLC,,18+,united states,"1821 12th Avenue South, Suite 460,Nashville,37203,US",https://www.snap.com/political-ads/asset/d4d8fd9b0fdd2100064166026363983d57724151f90d5bfe540e78c839ac0fa5?mediaType=png,,,
Secours Islamique France,21110,13941231,EUR,,Secours Islamique France,,20-45,france,FR,https://www.snap.com/political-ads/asset/8c6e35fcdeb728e94bde544015b27c8234d5563d935e48a038fd06177cbbabbb?mediaType=mp4,,,
Initiative Media B.V,75809,13395864,EUR,,Ministerie v. Binnenlandse Zaken,,18-25,netherlands,"Peter van Anrooystraat 7,Amsterdam,1101 BA,NL",https://www.snap.com/political-ads/asset/1f5b794be141907999d46fa26a78c52297779b499f09f8fd3ff4755bf093e769?mediaType=mp4,,,
Starcom Canada,11999,12857757,CAD,,Elections Ontario,,16-17,canada,"111 Queen St East,Toronto,M5C 1S2,CA",https://www.snap.com/political-ads/asset/2e5ca5ed9b18c95611a8a685bc4fb4c500f7ee163a6e0393171133695d3e2a35?mediaType=mp4,,Ontario,
AL Media,72823,12021920,USD,Virginians for Fair Elections,Virginians for Fair Elections,,18-24,united states,"222 W Ontario, Suite 600,,Chicago,60654,US",https://www.snap.com/political-ads/asset/08e4c603f24fc203ce28f376f27e2272185c3d0f34705666b88594b69a4635f9?mediaType=mp4,,Virginia,"West Virginia,Maryland,North Carolina,Tennessee,Kentucky,District of Columbia"
MVAR Media,101047,12004225,USD,Opportunity Action Fund,Opportunity Action Fund,,18+,united states,"1421 Prince St Suite 320,Alexandria,22314,US",https://www.snap.com/political-ads/asset/a47f6268c51e12bde685fb3a2cf393645691fb1ccd27dc4deeb0d23e44f36dfb?mediaType=mp4,,Maine,
Gambit Strategies,147555,11920273,USD,,JB for Governor,,25+,united states,"2939 Van Ness St NW #1006,Washington,20008,US",https://www.snap.com/political-ads/asset/e137b2f5eb248e72b4a781ce5c69a1f573e10badb854873eab0ae93d99b3f7eb?mediaType=mp4,,Illinois,"Indiana,Iowa,Michigan,Kentucky,Missouri,Wisconsin"
Assemble the Agency,68215,11441089,USD,,AFL-CIO,,18+,united states,US,https://www.snap.com/political-ads/asset/bd99dbddae649b786a643979442dbb6bd98dc41ad54d1da44506a32051be4a03?mediaType=mp4,,,
Kalshi Inc,73046,11128342,USD,,Kalshi Inc,,18+,united states,US,https://www.snap.com/political-ads/asset/be257411cd375fa43022868dcaaf169527d0951363877d7687a4ac69509900a4?mediaType=mp4,,,"Nevada,Michigan,Washington,District of Columbia"
Kalshi Inc,114881,10811469,USD,,Kalshi,MALE,18+,united states,US,https://www.snap.com/political-ads/asset/3a6016d18f691545045dc7ac1be4ae51d28508b71c0dd4d778cee751f9ed2aed?mediaType=mp4,,,"Michigan,Nevada,Washington,District of Columbia"
Feel Good Action,22205,10217603,USD,National Preregistration Day,Feel Good Action,,17-,united states,"2339 Fairview Ave East #L,Seattle,98102,US",https://www.snap.com/political-ads/asset/64ee1680c013a7a3a9ce4e13c1624209764c68a1b7c53853d73c1b1a33a8c26d?mediaType=png,,"California,Colorado,Oregon,Maryland,Massachusetts,Hawaii,North Carolina,District of Columbia",
Targeted Victory  LLC,47641,8900162,USD,Vivek Ramaswamy and Rob McColley for Ohio,Vivek for Ohio,,18+,united states,"2311 Wilson Blvd fl 2,Arlington,22201,US",https://www.snap.com/political-ads/asset/af1b310a8a0dbd8ebbd1c0f10174dda9cc3d54212becc05bdeedde06c68897d3?mediaType=mp4,,Ohio,
qatar red crescent,13871,8175539,USD,,Qatar Red Crescent,,20+,qatar,"Al Baladiya St,Doha,00974,QA",https://www.snap.com/political-ads/asset/c6825c9163089593b6eb8a432b394931430c456f3476fd9823b4ddc65307a039?mediaType=mp4,,,
Wavelength Strategy,51984,8127392,USD,Ohioans for Lower Costs,Ohioans for Lower Costs,,18+,united states,US,https://www.snap.com/political-ads/asset/228ca328d15b0b546efdbc32e0c86d4a55cd18959b3921ce9fc0dea5c06526c8?mediaType=png,,,
Cossette Media Inc,18616,7839779,CAD,,Élection Québec,,18-44,canada,"P.O. Box. 11613, Succ. Centre-ville,Montreal,H3C5V9,CA",https://www.snap.com/political-ads/asset/1161b310b280e89afeaa09e5b62d1d1eaf40a12395ddad1e6b795b0d80855f70?mediaType=mp4,,Quebec,
Song for Charlie Inc.,8333,7643972,USD,Song for Charlie,Song for Charlie / Snap,,22-,united states,US,,,,
Fusion92,24411,7550517,USD,,State of Michigan,,18+,,"440 West Ontario Street,Chicago,60654,US",https://www.snap.com/political-ads/asset/cc259e4c761722c6d75cc426e5fd47ac5ec6e6e318a5e1e982b06aa2ee1b8891?mediaType=jpg,Outdoor & Nature Enthusiasts,,
Nowa Kommunikation AB,196255,7116921,SEK,,The Swedish Election Authority,,18+,sweden,"Södra Hamngatan 35,Göteborg,41114,SE",https://www.snap.com/political-ads/asset/69f2b35be1d89669f9b1eccc4a990406f39437a3382843e9dc49f70db58c1fae?mediaType=mp4,,,
GMMB  Inc,104986,6686935,USD,NA,Robert Wood Johnson Foundation,,18+,united states,"3050 K Street,Washington,20007,US",https://www.snap.com/political-ads/asset/32183e6338ef5abed640f564303c93685d7b963948c80289c0310a63abc08e25?mediaType=png,,"Georgia,Kansas,North Carolina,Mississippi,Pennsylvania",
Majority Strategies,60146,6589887,USD,The Iowa Voice News,SLF PAC,MALE,25+,united states,US,https://www.snap.com/political-ads/asset/84f8c0c922a959cbffbf9212bd0f2a44e3873ef17a6c06913d501d1da886c46f?mediaType=mp4,,Iowa,
ORIXA MEDIA,13833,5881708,EUR,8,Human Appeal France,,18+,france,"72 rue d'hauteville,PARIS,75010,FR",https://www.snap.com/political-ads/asset/bf1a45331f100ef72737918033106c7340206366592b400439c5dfa3e5bcc769?mediaType=mp4,,,
C+K,47603,5604020,USD,,PPFA,FEMALE,18-35,united states,"1640 Rhode Island Ave. NW, Suite 600,Washington,20036,US",https://www.snap.com/political-ads/asset/41f7f6e0999a605704c14b4e89f38a00751766752b44ad131403089e36a0a62b?mediaType=mp4,"Beauty Mavens,Clubbers & Party People,Indie & Foreign Film Fans,Reality TV Fans,Bachata Music Fans,Concert & Festival Goers,K-Pop Music Fans,Latin Music Fans,Reggaeton Music Fans,Soul & R&B Fans,Traditional Mexican & Colombian Music Fans,World Music Fans,Apparel Store Buyers - Michael Kors,Telecom Buyers - Cricket,Telecom Buyers - MetroPCS,Telecom Buyers - T-Mobile Products and Services,vac_359,vac_57",,
Patagonia Europe,65270,5530507,EUR,,Patagonia,,18+,united kingdom,"Jollemanhof 11,Amsterdam,1061TJ,NL",https://www.snap.com/political-ads/asset/ab318b9dc711e2d81ec45b5a9bc8a683f08b1566671bb53603f3ebb41d04fefc?mediaType=mp4,"Advocates & Activists,Green Living Enthusiasts",London,
MVAR Media,37990,5497825,USD,Midnight Sun Independence Fund,MIDNIGHT SUN INDEPENDENCE FUND,,18+,united states,"1421 Prince St Suite 320,Alexandria,22314,US",https://www.snap.com/political-ads/asset/6147d16a4b59a265773236e58caa8beffdc62fe7db61b8f7c3e603c9a8feb137?mediaType=mp4,,Alaska,
The Free Press,31503,5284781,USD,,The Free Press,,18+,united states,"82 Nassau St., Suite 62658,New York,10038,US",https://www.snap.com/political-ads/asset/6e1857af2f37d2623c7f4ad13d888ea15daf75b1a06ef2bee84af764e6cf3c91?mediaType=png,,,
Human Appeal  Arabic,13434,5203830,GBP,,HUMAN APPEAL,,25+,united arab emirates,GB,https://www.snap.com/political-ads/asset/4cae312f35e0e89079c677ec8cf716760c4b975d02b6cac6e601dfa1d4c21503?mediaType=mp4,,,
GMMB  Inc,97545,5127582,USD,,BPAC,,18+,united states,"3050 K Street,Washington,20007,US",https://www.snap.com/political-ads/asset/fa0b299ccf73ab569838dfdfc47d453c5002422f8d9efa72f6283ab6afd4a8d7?mediaType=mp4,,,
The New Media Firm,35929,5052702,USD,,New Jersey Education Association,,18+,united states,"1730 Rhode Island Ave, NW Ste 213,Washington,20036,US",https://www.snap.com/political-ads/asset/7b946dc04994567a6bc1101fd06d4b2118fc8e695df01c350cae731959d3b76a?mediaType=mp4,,New Jersey,
Assemble the Agency,34477,4972782,USD,,Healthcare Education Project,,18+,united states,US,https://www.snap.com/political-ads/asset/26ef451955a9be4ef34eeb527565790a69f423a7a9520f28108b83cdc05f229d?mediaType=mp4,,New York,
MVAR Media,68120,4962899,USD,WinSenate,WINSENATE,,18+,united states,"1421 Prince St Suite 320,Alexandria,22314,US",https://www.snap.com/political-ads/asset/87f964dbedf531569fee204111925694005ecd1e0f61716aef4b493ea26c23f4?mediaType=mp4,,Maine,
Wavelength Strategy,24392,4954394,USD,Friends of Sherrod Brown,Friends of Sherrod Brown,,18-29,united states,US,https://www.snap.com/political-ads/asset/f30a8f0a17a617391516484220432a393dcf904423e0309cc3d176738892e71d?mediaType=png,News Watchers,Ohio,"Michigan,Indiana,Kentucky,West Virginia,Pennsylvania"
boy Strategie und Kommunikation GmbH,8281,4637642,EUR,Wahl des Abgeordnetenhaus von Berlin,Abgeordnetenhaus Berlin,,16+,germany,"Knooper Weg 51,Kiel,24103,DE",https://www.snap.com/political-ads/asset/ef61a42270221987094632f65a7a9aa607b7cadbe25a10532a78dd0f91dbc7c2?mediaType=png,,Berlin,
Global Strategy Group,19091,4610651,USD,,Facts for Peace LLC,,18-35,united states,"215 Park Ave S 15th Floor,New York,10003,US",https://www.snap.com/political-ads/asset/3fce83984967c9eeffab71c5ea1ee244d832eed1bd297e0cb912eb01299b533a?mediaType=mp4,,,
yourimpactfdn,10682,4483904,GBP,,Your Impact Foundation,,20+,united kingdom,GB,https://www.snap.com/political-ads/asset/b823982fda7fcf3993c483d1bd42b4dad1d293e6a8eba026fb776c757478555e?mediaType=mp4,,,
DSPolitical,10386,4281313,USD,Randy Villegas for Congress,Maremoto Action,,30-39,united states,US,https://www.snap.com/political-ads/asset/6d8b6bc168d018f4cb8404897546b06396ffad5badf2f280ede4024bac5bbc8a?mediaType=png,,California,
C+K,63989,4081843,USD,,MAJORITY FORWARD FUND,,18+,united states,"1640 Rhode Island Ave. NW, Suite 600,Washington,20036,US",https://www.snap.com/political-ads/asset/e3f833abfa3826f70543e7cbab8210e2ba47de8476946c163aa6098c27c2e754?mediaType=mp4,,,"Indiana,Michigan,Pennsylvania,Kentucky,Virginia,West Virginia,Maryland"
Mission Media  LLC,41338,3914104,USD,,MD State Board of Elections,,18+,united states,"616 Water St, Suite 225,Baltimore,21202,US",https://www.snap.com/political-ads/asset/649f6e913fac230b5a07154e8c8c44ab806997ff96063af1ccb6ec79c7b1015e?mediaType=mp4,,,
MVAR Media,81005,3857681,USD,Freedom Virginia,Freedom Virginia INC,,25-44,united states,"1421 Prince St Suite 320,Alexandria,22314,US",https://www.snap.com/political-ads/asset/aedfb4646ac02e6bf874c2fd231a6629d45ff2b51fd5930e34dc02c71a4fda5b?mediaType=png,,,
GetUp,14450,3678315,AUD,,GetUp!,FEMALE,18-34,australia,AU,https://www.snap.com/political-ads/asset/22693cc6bc5ada63e7c9553d70ed74e36add51c9758d84a160058af147605ee3?mediaType=mp4,,South Australia,
TKO Political,25070,3531589,USD,,Alliance for a Better Minnesota,,18-34,united states,"2800 Abilene Dr,Chevy chase,20815,US",https://www.snap.com/political-ads/asset/25aea8ff91661d49f3e2541ba91c91e5b4b3db32a4344a93b7db962f08a67079?mediaType=mp4,,Minnesota,
Abortion Finder,42105,3339082,USD,,Abortion Finder,FEMALE,18-42,united states,US,https://www.snap.com/political-ads/asset/192c3986779649405026d0176841a7f9e621486a662d9914b62bfbcba6b93ad2?mediaType=png,,,"Oklahoma,Texas,Mississippi,Louisiana,Idaho,Iowa,North Carolina,Indiana,Wyoming,Florida,South Dakota"
Dentsu France,3466,3315536,EUR,,Dentsu Aegis Network FR,,26+,france,"67 Av. de Wagram,Paris,75017,FR",https://www.snap.com/political-ads/asset/48b149fd926a0219cf00076002775bebba860a3c72dd0b0fabb567c1d0ddbdeb?mediaType=mp4,"Family Genre Fans,Parents & Family-Focused,Family Travelers,vac_141,vac_291",,
MVAR Media,19404,3269403,USD,Majority Forward,Majority Forward,,18+,united states,"1421 Prince St Suite 320,Alexandria,22314,US",https://www.snap.com/political-ads/asset/5dcdc42ec9af0d9bdf9463cad11b2e5d42c7b41fd4834b3735f4cc638fb0894a?mediaType=mp4,,Alaska,
Radio-Canada,7507,3217180,CAD,Elections provinciales du Quebec 2026,Radio-Canada,,18-34,canada,"1400 BOUL RENÉ LÉVESQUE E,MONTRÉAL,H2L 2M2,CA",https://www.snap.com/political-ads/asset/291ca09a924821b4b49426b235811876514f174672d6cbb87412082e34129056?mediaType=png,,Quebec,
الهيئة الخيرية الإسلامية العالمية,11623,3211363,USD,,الهيئةالخيرية الإسلامية العالمية,,25+,kuwait,"Kuwait,Kuwait,30000,KW",https://www.snap.com/political-ads/asset/27304fe2d43a238ff1b8e71ed51dafa0a4a34946724d64ac9776e2ce5dae407f?mediaType=png,,,
GMMB  Inc,20829,2963410,USD,42,Yes on Prop 42,,18+,united states,"3050 K Street,Washington,20007,US",https://www.snap.com/political-ads/asset/b40c754bf163821065888dcb4757878a799657ec8605baf7af497c2a4d094aa2?mediaType=mp4,,California,
Priorities USA,8752,2928263,USD,Wisconsin Supreme Court,Priorities USA,,24-44,united states,US,https://www.snap.com/political-ads/asset/e3156c1e076b1a5b0d5c8fb9e98cb86d7902d1b8f39f0490f93bcd70e4e7a589?mediaType=mp4,,,
Gambit Strategies,43767,2882465,USD,,Hickenlooper for Colorado,,18+,united states,"2939 Van Ness St NW #1006,Washington,20008,US",https://www.snap.com/political-ads/asset/41d37c9566fb9cf684f18df303acd41ab6976ab2443b5cd6fa166cd7990f2262?mediaType=mp4,,Colorado,"Arizona,Kansas,Nebraska,New Mexico,Oklahoma,Utah,Wyoming"
Islamic Relief USA,82729,2843314,USD,,Islamic Relief USA,,23+,united states,"3655 Wheeler Ave,Alexandria,22304,US",https://www.snap.com/political-ads/asset/2831344baf83df55c26e46866cfc4f8143f746d9a143e08d458c0a1b3e032aba?mediaType=mp4,,,
Aisle 518 Strategies LLC,59230,2803297,USD,Jon Ossoff for Senate,Jon Ossoff for Senate,,18+,united states,"1133 15th St NW,Washington,20005,US",https://www.snap.com/political-ads/asset/8a80ef17e1716bf9c81cbb7fddf2e94ea16bc20e03173aebefa3cbe2555cbe8a?mediaType=png,,,
Human Appeal Canada,17389,2694283,CAD,,Human Appeal Canada,,25+,canada,CA,https://www.snap.com/political-ads/asset/3eff3399bcb8e9bec8f0d7dfac2fa37028c708402acee1619fdb14d346e4423e?mediaType=mp4,,,
AL Media,24408,2634314,USD,WinSenate,Winsenate,,18-34,united states,"222 W Ontario, Suite 600,,Chicago,60654,US",https://www.snap.com/political-ads/asset/d2ab37b92cc9f828a03b01ffe294d32c6d837ac01c55407472f51241706ad82e?mediaType=mp4,,New Hampshire,"Vermont,Massachusetts,Maine"
C+K,30772,2548133,USD,,Majority Forward Fund,,18+,united states,"1640 Rhode Island Ave. NW, Suite 600,Washington,20036,US",https://www.snap.com/political-ads/asset/368e4f0f6ff42103c22b2606ae5cb95cbc9eebeb09605a370db162cccc03e238?mediaType=mp4,,North Carolina,"Virginia,Georgia,Tennessee,South Carolina"
PLUS Communications,74123,2338740,USD,,Senate Leadership Fund,,35+,united states,US,https://www.snap.com/political-ads/asset/62fb9ec382f864217191599ed4b17a137ecb3b41fa898492fca58b65e07b0427?mediaType=mp4,,Ohio,
HAPI,10948,2317410,USD,,Maricopa County Elections,,18+,united states,US,https://www.snap.com/political-ads/asset/4ae7c4ae598407dfbdaae56128e57a4978f7efeaead3b9724d0cedf39b7e05d0?mediaType=mp4,,,
Human Appeal USA,10763,2232225,USD,,Human Appeal INC,,25-50,united states,"26050 Acero Suite 415 ,Mission Viejo ,92691,US",https://www.snap.com/political-ads/asset/3dedc982c20c765e9047a1d30dda00244b40694405bd9ba8f531727ec4b660a0?mediaType=mp4,,,
baladelkhair,12569,2208955,USD,,baladalkhair,,25+,kuwait,"محافظة العاصمة/الخالدية - ق2 - ش20 - منزل 18 مقابل جمعية الخالدية,Hawalli,30000,KW",https://www.snap.com/political-ads/asset/b783904910025faa3efff9adcfc46ecb32abd3a29888f3d889744bbd62745538?mediaType=png,,,
When We Vote,34997,2109040,USD,,Civic Nation,,18-29,united states,"1156 15th Street NW,Washington,20005,US",https://www.snap.com/political-ads/asset/c6cba1a48041d8929e4d3b335c62a701de17cdc4d04ad5e6e6742a3a9c0f28d9?mediaType=png,,Michigan,
Nowa Kommunikation AB,113044,2035301,SEK,,Riksdagsförvaltningen,,18-30,sweden,"Södra Hamngatan 35,Göteborg,41114,SE",https://www.snap.com/political-ads/asset/551d61c9d8259ef7cd6d5b71a0d3b1e5a211bde43ab3a7af5087305e48e844ac?mediaType=mp4,,,
Panowatch  LLC,50810,2034741,USD,Alex Bores for Congress,DREAM NYC,,18-54,united states,"8207 Taunton Pl,West Springfield,22152,US",https://www.snap.com/political-ads/asset/7cd4cc01c8a9f024facbb1c8474d742de9b31cb28745ef9cd92acfb30c561554?mediaType=png,,,
MVAR Media,20884,1923043,USD,North Star AK,North Star,,18+,united states,"1421 Prince St Suite 320,Alexandria,22314,US",https://www.snap.com/political-ads/asset/b79237b4d97ae1dc1d458fb154c7215d711d7f81c2ef546f0b5e33ca1a13c51a?mediaType=mp4,,Alaska,
Pratt for Mayor 2026,15018,1882818,USD,Pratt for Mayor,Pratt for Mayor 2026,,18+,united states,US,https://www.snap.com/political-ads/asset/b5461e73368baa9f554756841a2a7eec93908732293e5bd73f84f12ef151f20c?mediaType=mp4,,,
Turnout Activism Inc.,10637,1878431,USD,TurnUp Activism,Turnout Activism Inc.,FEMALE,17-29,united states,"35 Walden St #3g,Cambridge,02140,US",https://www.snap.com/political-ads/asset/30ab7156b0f2f29de6b360b1a89e5f0df9a2aa6a6f43a87bdf6c55e8a1726acc?mediaType=mp4,,"Michigan,Ohio,Georgia,Texas,North Carolina,Maine,Nebraska,Iowa,Alaska",
Bully Pulpit Interactive,2956,1696319,USD,,Campaign for Tobacco-Free Kids,,16+,united states,"1445 New York Ave NW,Washington,20005,US",https://www.snap.com/political-ads/asset/57ca686edb977647e55ce90fdf23c92082eb81a81ffcf8fd99f68183820fb920?mediaType=mp4,"Fitness Enthusiasts,Vegans & Organic Foodies,Green Living Enthusiasts,Outdoor & Nature Enthusiasts,Wellness & Healthy Lifestyle,Vitamins & Supplements Buyers",,
C+K,39023,1685184,USD,,NRDC Action Votes,,18+,united states,"1640 Rhode Island Ave. NW, Suite 600,Washington,20036,US",https://www.snap.com/political-ads/asset/2d8d443a882c17765508aab70f4dda12ca5e25e12a3d5bc183100ab454228be6?mediaType=mp4,,Ohio,"Indiana,West Virginia,Michigan,Pennsylvania,Kentucky"
Search for Businesses  LLC,4837,1681164,USD,2026 Statewide Direct Primary Election,San Bernardino County,,18-44,united states,US,https://www.snap.com/political-ads/asset/13698c294a8c2f94376e1b76d6201c03b5e3e8ad0f9c2426b333637b7f136e4f?mediaType=png,,,
Australian Labor Party,18028,1553387,AUD,,Australian Labor Party,FEMALE,18+,australia,"141 Gilles Street,Adelaide,5000,AU",https://www.snap.com/political-ads/asset/7410ba4a208f93254c4cb54c1fa3f5d25cf5f75a7431e622e84d4c5dd428d892?mediaType=mp4,,,
TBWA Canada,3332,1552742,CAD,,ALERT,,17-,canada,"Suite 1900, 10025 - 102A Avenue,Edmonton,T5J 2Z2,CA",https://www.snap.com/political-ads/asset/a24d270efe9c6de5326203134f97b0aa1c9c3159a071a92292784e2124ad6e92?mediaType=mp4,,Alberta,
Campaignifi,2668,1455980,AUD,,NSW Liberal Party,,18-30,australia,"Level 7, 14 Martin Place,Sydney,2000,AU",https://www.snap.com/political-ads/asset/8e6c8dca9e8425f228184f010af9ff21b29ecd33fb8d54a041479d4fee88f061?mediaType=mp4,,New South Wales,"Australian Capital Territory,Northern Territory,Queensland,South Australia,Tasmania,Victoria,Western Australia"
AL Media,9788,1451044,USD,For Michigan,For Michigan Action Fund,,18-24,united states,"222 W Ontario, Suite 600,,Chicago,60654,US",https://www.snap.com/political-ads/asset/7ef14670936103635c819a5c7feb4f4556bd068cb1cdcea33cf3b47bc6dca504?mediaType=mp4,,,"Minnesota,Wisconsin,Illinois,Indiana,Ohio"
Break Something,23781,1414297,USD,,Rob Sand for Iowa,,18+,united states,"1930 18th St NW Suite B2 #562,Washingotn,20009,US",https://www.snap.com/political-ads/asset/9fc0dc75377a4655f60876ff7238a07e860c5d1e3af17e848f7287e410aa67b5?mediaType=mp4,,,
Connect Social,10061,1387707,USD,Issue advocacy Turning Point USA,TPUSA Merch,,18+,united states,"4940 E Beverly Rd ,Phoenix,95044,US",https://www.snap.com/political-ads/asset/da57422f350ba136fd9b23167914b95356ac74641f5365bf23856e2861549c5c?mediaType=mp4,,,
Digital Media Services FZ-LLC,1285,1384815,USD,,Al Najat Charity,,23+,kuwait,"Media City, Knowledge Village, Choueiri Group Building,Dubai ,251589 - Dubai - U.A.E,AE",https://www.snap.com/political-ads/asset/cf21ace4eaedd79a3f429096e393c060dd446f8f53f62e1b1d9944587e0d916a?mediaType=mp4,,,
Vivek Ramaswamy,19236,1376607,USD,,Vivek Ramaswamy and Rob McColley,,18+,united states,US,https://www.snap.com/political-ads/asset/07bbefe480b08f9b9fb723b3daa83b26e2b61b07c98af72fd05a348a4cc46a21?mediaType=mp4,,Ohio,
Kuwaiti charity to serve the Holy Quran and its Sciences,4599,1354845,USD,,hoffath.org,,,kuwait,"Shehab Ahmad Albahar St,RAWDA,73451,KW",https://www.snap.com/political-ads/asset/5df17d0106e59577fb00d30ca895572a3af28932aee55f908a54acc2984beebf?mediaType=png,,,
Your Online Conversation,5964,1349160,GBP,,Muslim Aid,,21+,united kingdom,"84 Kingsley Road,Hounslow,TW3 1QA,GB",https://www.snap.com/political-ads/asset/5ce1ade286d5b1e934c5c51a1e35e01af8c7eec59094e76c4a5fa22f3b00ed5e?mediaType=mp4,,,
Human Age Digital,9763,1332850,USD,Annise Parker for Harris County Judge,Annise Parker for Harris County,,18+,united states,US,https://www.snap.com/political-ads/asset/8333995d0d06bce7d2929814cbd34087b942ced18b50d282c485da5c0cbdc87e?mediaType=mp4,,Texas,
Bully Pulpit Interactive,26094,1260927,USD,,The Bills Are Too Damn High,,18+,united states,"1445 New York Ave NW,Washington,20005,US",https://www.snap.com/political-ads/asset/601112ea0325774dd9e5f90827609b23a2ec941e86278d1d964dcd30112587e9?mediaType=mp4,,Iowa,
FVAP,14811,1204765,USD,Federal Voting Assistance Program,FVAP,,18-29,united states,"701 N Westshore Blvd #200,Tampa,33609,US",https://www.snap.com/political-ads/asset/20a5016bc6adf54b835099f11f740680150910c013052062cc772fc1a52a9967?mediaType=mp4,,,
