OrganizationName,Spend,Impressions,Currency Codes,CandidateBallotInformation,PayingAdvertiserNames,Genders,AgeBrackets,CountryCodes,BillingAddresses,CreativeUrls,Interests,Regions (Included),Regions (Excluded)
standup2jewhate,1006260,379924377,USD,,Blue Square Alliance Against Hat,,18-34,united states,"1 Patriot Pl,Foxborough,02035,US",https://www.snap.com/political-ads/asset/d7f6c36c64fbb6d172a4c7881201dce27fd5296fea3bff1e4cf3f36f579281a7?mediaType=mp4,"Advocates & Activists,Arts & Culture Mavens,Beauty Mavens,Comics & Animation Fans,Creators,Fashion & Style Gurus,Console & PC Gamers,eSports Enthusiasts,Mobile Gamers,Mobile Gamers - Casual,Mobile Gamers - Hypercasual,Mobile Gamers - Mid-Core and Hardcore,Mobile Gamers - Puzzles,Mobile Gamers - Sports,Mobile Gamers - Strategy,Mobile Gamers - Trivia,Meme Watchers,Concert & Festival Goers,Dance & Electronic Music Fans,Hip-Hop Music Fans,Indie & Alternative Music Fans,Pop Music Fans,Philanthropists,Photographers,Cosmetics Shoppers,Sneakerheads,Wellness & Healthy Lifestyle",,
Agenda Media,297371,173391527,GBP,,Electoral Commission,,18-24,united kingdom,"37 Turner Street,Manchester,M4 1DW,GB",https://www.snap.com/political-ads/asset/2447fb549fd3eab25f3b48f1a63b0a5e379213ee8ff98b6b21a8e15ecb3cc02d?mediaType=jpg,,,
Havas Media France,474927,167933829,EUR,,European Commission,,18+,portugal,"29/30, Quai de Dion Bouton, Puteaux, 92817, France,Paris,92817,FR",https://www.snap.com/political-ads/asset/64850bf9a41cba09e15cf9b10921b4c21e68a4167cd5b61ee37f3f203d9a1d6f?mediaType=mp4,,,
GMMB  Inc,521605,61861372,USD,40,No on Prop 40,,18+,united states,"3050 K Street,Washington,20007,US",https://www.snap.com/political-ads/asset/66ae62328feb34f1aeeaba6fdd52dc6f12d255739c19c8ce42d489e95218974e?mediaType=mp4,,California,
Project Unloaded,146563,56090698,USD,,Project Unloaded Inc,,17-,united states,"1 East Erie Street, Suite 525 #4787,Chicago,60611,US",https://www.snap.com/political-ads/asset/93cd102da6fd556d7ff846fb624f130226ae92fd64fc8a7e3c86cab636f443b2?mediaType=mp4,,,
Jack of Digital (SMC-Pvt.) Limited,8156,55111952,USD,,Al Khidmat Foundation,,,pakistan,"3rd Floor, M.A. Tabba Foundation Building,Gizri Road, Clifton Block 9,75600,PK",https://www.snap.com/political-ads/asset/e4f091abcc1ed6f85fe1786807cd25e71680041f2d7ea54dddbe1aaa0defdcac?mediaType=mp4,,,
Human Appeal,210947,29880891,GBP,,Human Appeal,,18+,united kingdom,"Pennine House Carrs Road,Cheadle,SK8 2BL,GB",https://www.snap.com/political-ads/asset/9f23b892844ccd8e37a7b04620b8246185b57b6a408b70dc13daf3707a9d24af?mediaType=mp4,,,
VMLY&R,50467,27749317,NZD,,Electoral Commission NZ,,18+,new zealand,"Level 2, 36 Lorne Street,Auckland CBD,1010,NZ",https://www.snap.com/political-ads/asset/8ecd33832f17c09e9258f4f4ff527044cd389621807d8d32ba82f3eb2632b86c?mediaType=mp4,,,
standup2jewhate,62723,19854710,USD,,FDTN to Combat Antisemitism,,18-34,united states,"1 Patriot Pl,Foxborough,02035,US",https://www.snap.com/political-ads/asset/9f47bbb792b1882d9aedfba1c91c3ae77d0b6426a9d10b39a69e1806fcb192a1?mediaType=mp4,"Advocates & Activists,Arts & Culture Mavens,Cooking Enthusiasts,Political News Watchers,Philanthropists,Travel Enthusiasts,shp_32,shp_125",,
Ben and Jerry s Homemade Inc,173382,18405959,USD,,Ben & Jerry's,,18-44,united states,"530 Community Drive,South Burlington,05403,US",https://www.snap.com/political-ads/asset/36014b49acf33d50298c2392a5b5218b945a5bd413c099c4217e18bbe550f5de?mediaType=png,"Advocates & Activists,Arts & Culture Mavens,Bookworms & Avid Readers,Collegiates,Foodies,Green Living Enthusiasts,Hipsters & Trendsetters,News Watchers,Political News Watchers,Philanthropists,Eco-Conscious Buyers","Georgia,North Carolina",
