ADID,CreativeUrl,Currency Code,Spend,Impressions,StartDate,EndDate,OrganizationName,BillingAddress,CandidateBallotInformation,PayingAdvertiserName,CommitteeName,CommitteeIdentificationNumber,DisclosureNameOfCommittee,AdvertisingJurisdiction,Gender,AgeBracket,CountryCode,Regions (Included),Regions (Excluded),Electoral Districts (Included),Electoral Districts (Excluded),Radius Targeting (Included),Radius Targeting (Excluded),Metros (Included),Metros (Excluded),Postal Codes (Included),Postal Codes (Excluded),Location Categories (Included),Location Categories (Excluded),Interests,OsType,Segments,Language,AdvancedDemographics,Targeting Connection Type,Targeting Carrier (ISP),CreativeProperties
000f7c87ce8dd994d62a319b5884b863eb4e7ef21fdda03d8e74455cb0145824,https://www.snap.com/political-ads/asset/57f3a5d24580c4874c31bd307fb2ea9ddcd14f8a8170120fcc940ab52a2fa2a2?mediaType=mp4,USD,6849,186980,2022/09/20 14:00:55Z,2022/11/09 00:00:00Z,Blueprint Interactive,"1730 Rhode Island Ave NW Suite 1014,Washington,20036,US",,Climate Power Action,,,,,,18+,united states,,,,,,,,,"30058,30294,30296,30088,30038,30213,30039,30273,30034,30349,30035,30013,30288,30228,30291,30238,30083,30331,30045,30336,30021,30106,30087,30122,30253,30008,30168,30094,31907,31407,30274,30281,30016,30311,31323,30344,30093,31098,31827,30236,30260,30135,30905,30032,30126,30044,30815,30339,30317,30329,31404,31415,30084,30318,30310,30046,30315,30316,30012,31313,30127,30340,30214,30017,30078,30079,30002,30080,30350,30134,30906,30363,30313,30354,30071,31301,30909,30082,31401,30328,30345,30096,30268,30341,30033,30901,31087,30337,31419,30314,30092,31903,31405,31206,31042,31906,30326,31094,39862,30477,39813,30043,31063,31018,31220,31211,30248,30047,31824,39815,31204,30312,30828,30067,31721,30813,31322,31201,30052,30360,30097,31905,31082,30297,31719,39870,31707,30060,39851,30076,31705,31815,30434,30144,39840,31044,30141,31217,30346,31089,30252,30319,30030,39823,31909,31709,31315,31701,30342,31520,30605,30324,30601,31730,30215,31030,31408,31826,31406,39886,30904,31901,30241,30833,31825,31805,31820,30022,31093,30005,39846,30606,31816,31803,30064,30014,30669,30306,30327,30607,31601,31320,30830,30338,31088,31016,30413,30519,31061,31792,30683,30019,31020,31092,30631,39817,39842,31210,30066,31078,30290,30024,31904,39828,30673,31501,31068,30009,30824,30152,30062,30307,31833,30518,30222,30309,31096,39854,31602,30458,31605,30816,31021,31829,31216,30101,30457,30004,30907,30068,31714,31091,31076,31316,30467,30075,31015,31055,30303,30223,31052,39819,30308,30102,31005,31643,31533,31328,31031,39845,31411,31006,30117,31794,30442,31324,30269,30501,30305,31410,30677",,,,"Dance & Electronic Music Fans,Hip-Hop Music Fans,Indie & Alternative Music Fans,Latin Music Fans,Pop Music Fans,Soul & R&B Fans,World Music Fans,Cosmetics Shoppers,Sneakerheads,Soccer Enthusiasts,Mexican Food Buyers",,Provided by Advertiser,,,,,web_view_url:https://electclimatechamps.com/
001c12d6e175e6d3e852657334470a7717da4978703bd1bbecd3e75ab2a769d8,https://www.snap.com/political-ads/asset/300571c415d1809452e8adc7f9f3568c3162e6546415c83e9c331d0bb9e5e9b7?mediaType=mp4,USD,9,719,2022/08/08 14:05:52Z,,Authentic Campaigns Inc,"4422 N Ravenswood Ave # 101,Chicago,60640-5803,US",Adam Schiff,Schiff for Congress,,,,,,18+,united states,,,,,,,,,,,,,,,,,,,,web_view_url:https://secure.actblue.com/donate/abs-ads-220808-snap-dtc-dd-em
002412436bf1d35f4b05c5962606583196496b304c31388e6d9f61092530ae17,https://www.snap.com/political-ads/asset/47c47ea6d3c66f1070ab5505d63e7c3c75ea2ed94d609ea4c34de3c7dbd9b706?mediaType=mp4,USD,378,32525,2022/08/16 15:30:00Z,2022/11/08 16:00:00Z,Wavelength Strategy,US,Katie Porter for Congress,Katie Porter for Congress,,,,,,18+,united states,,,California 47th District,,,,,,,,,,,,,,,,,web_view_url:https://katieporter.com/?utm_source=snap&utm_content=pers&utm_medium=paid
0024ee483b98fc0fca7d31ea2115884c01866a64e5b2a0c40af55bc1b7561736,https://www.snap.com/political-ads/asset/043c320734c9acc57d702837093a162016d2d4e3f8c0868ec5b4147af3968e64?mediaType=mp4,USD,502,73328,2022/05/15 22:54:28Z,2022/07/01 03:59:59Z,C+K,"1640 Rhode Island Ave. NW, Suite 600,Washington,20036,US",,PPFA,,,,,FEMALE,18-35,united states,Texas,,,,,,,,,,,,Latin Music Fans,,Provided by Advertiser,es,,,,web_view_url:https://www.abortionfinder.org/es?utm_source=Snapchat&utm_medium=PP&utm_campaign=CK.PPFA.PatientNavP3.TX.Snap.ES.LX.FE.18_35.Vid-10.Video3
00269a320fdaf46b743889bcc7c097c56e25a436bb0419eee122e81825d9799a,https://www.snap.com/political-ads/asset/92628fe50eade180e676e60381cd7ec3ce20f0b0c4cee52be8759211d067d307?mediaType=mp4,USD,195,8062,2022/09/20 13:00:42Z,2022/11/08 23:00:00Z,Wavelength Strategy,US,,Mark Kelly for Senate,,,,,,18+,united states,Arizona,,,,,,,,,,,,"targetsmart_16,targetsmart_21",,Provided by Advertiser,,,,,web_view_url:https://markkelly.com/?utm_source=snapchat&utm_medium=paid
002dfcfae51d77799a64b1f28fac8d4bb974693f6dada96469f7b68268e62ef6,https://www.snap.com/political-ads/asset/4273105ba1fd107879d7a2c4ec1f2082ba71950db0c0891db3a54592b661c505?mediaType=mp4,USD,603,18146,2022/04/19 13:00:00Z,2022/06/29 01:00:00Z,Wavelength Strategy,US,Kathy Hochul,Kathy Hochul for NY,,,,,,18+,united states,New York,,,,,,,New York,,,,,"Advocates & Activists,Bookworms & Avid Readers,Green Living Enthusiasts,News Watchers,Outdoor & Nature Enthusiasts,Pet & Animal Lovers,Parents & Family-Focused,Wellness & Healthy Lifestyle,Women's Lifestyle",,Provided by Advertiser,en,"Education (Some College),Education (Bachelor Degree)",,,web_view_url:https://kathyhochul.com/?utm_source=snap&utm_content=forward&utm_medium=pm
003159ded9d230c09e9a3b7cd7e46c65fecca033d7e8e58b137c57d63412c4b2,https://www.snap.com/political-ads/asset/0a5288f22cb314eacb1ee100c832a2fb171fca418c66287e2d4da5723fa228bb?mediaType=mp4,USD,10,389,2022/06/17 20:57:00Z,2022/11/09 00:59:00Z,Wavelength Strategy,US,Catherine Cortez Masto for Senate,Catherine Cortez Masto,,,,,,18+,united states,,California,,,,,Reno,,,,,,"Advocates & Activists,Political News Watchers",,Provided by Advertiser,,"Education (Some High School),Education (Some College),Education (Bachelor Degree)",,,web_view_url:https://www.catherinecortezmasto.com/?utm_source=snapchat&utm_medium=pm&utm_content=thefacts
00317d148f2a427f6cf5bfb866ca64cbf11c9b48426550f9b8df01d263555d27,https://www.snap.com/political-ads/asset/684ed0112e9993da98aeb93ae3da5147a25325dca0f27d70f7e2f20db48d0389?mediaType=mp4,USD,191,4859,2022/06/17 20:57:00Z,2022/11/09 00:59:00Z,Wavelength Strategy,US,Catherine Cortez Masto for Senate,Catherine Cortez Masto,,,,,,18+,united states,,,,,,,Las Vegas,,,89109,,,"Advocates & Activists,Political News Watchers",,Provided by Advertiser,,"Education (Some High School),Education (Some College),Education (Bachelor Degree)",,,web_view_url:https://catherinecortezmasto.com/?utm_source=snapchat&utm_medium=pm
003fbda21318c86ad92eb1cdaa2287eb978ec852b16a5d1534012fcb86ce9106,https://www.snap.com/political-ads/asset/d52cba4cf7cdeae17697afd23976e8fa401686b1090a9356f50ab1dfccb9a3dd?mediaType=png,USD,36,3158,2022/09/29 13:00:43Z,2022/10/25 03:59:00Z,Voter Formation Project,"712 H St NE PMB 41,Washington,20002,US",,Voter Formation Project,,,,,,18+,,,,,,,,,,,,,,"targetsmart_08,targetsmart_05,targetsmart_12",,,,,,,web_view_url:https://register.voterformationproject.org/?utm_source=snap&utm_brand=vfp&utm_medium=paid-trfc&utm_campaign=22rg-rn-p3-if&utm_term=patl-a-in&utm_content=VFP3RU2FA9M
00421bbc7d1d0d136afeda3632234f5bf9d4472eeb85119ba8f5a1b0282774cd,https://www.snap.com/political-ads/asset/5eab95a66cb449938d28cba48b721adf8e0dc8aa112bd4bdf439d5b21dfe3ece?mediaType=jpg,GBP,1362,257664,2022/10/21 11:00:58Z,,M.i. Media,"78 Whitfield Street,Fitzrovia,W1T 4EZ,GB",,Unison,,,,,,18+,united kingdom,"South Tyneside,Telford and Wrekin,Stoke - on - Trent,Staffordshire,Newcastle Upon Tyne,Worcestershire,Birmingham,Coventry,Dudley,Sandwell,Walsall,Wolverhampton,Derby,Leicester,Nottingham,Derbyshire,Leicestershire,Lincolnshire,Northamptonshire,North Lincolnshire,North East Lincolnshire,East Riding of Yorkshire,Kingston Upon Hull,Barnsley,Doncaster,Rotherham,Sheffield,Bradford,Calderdale,Kirklees,Wakefield,Halton,Blackburn With Darwen,Bolton,Manchester,Rochdale,Oldham,Salford,Wirral,St. Helens,Liverpool,Wigan,Knowsley,Tameside,Trafford,Hartlepool,Durham,Middlesbrough,Northumberland,Redcar and Cleveland,Stockton - on - Tees,Sunderland","Edinburgh,East Renfrewshire,Monmouthshire,Aberdeen City,Cardiff",,,,,"Wales,Southern Scotland (Edinburgh and Glasgow),Northern Scotland",,,,,,,,,,,,,web_view_url:https://ad.doubleclick.net/ddm/clk/539890620;348346619;v
